지역,날짜,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
경기,2016-01-01,-6.4,-8.5,-3.4,31,,,
경기,2016-01-02,-4.6,-8.3,-0.5,28,,,
경기,2016-01-03,-2.6,-9.9,2.4,37,,,
경기,2016-01-04,2.1,-2.1,8.5,56,,,
경기,2016-01-05,3.6,-2.9,9.3,45,,,
경기,2016-01-06,-1.5,-6.1,4.2,28,,,
경기,2016-01-07,-4.2,-6.9,0.2,24,,,
경기,2016-01-08,-4.7,-10.2,0.8,28,,,
경기,2016-01-09,-2.7,-8.1,3.3,41,,,
경기,2016-01-10,-0.7,-6.8,5.8,30,,,
경기,2016-01-11,-0.3,-2.9,3.6,40,,,
경기,2016-01-12,-2.3,-7.3,3.9,24,,,
경기,2016-01-13,0,-7.1,6.7,26,,,
경기,2016-01-14,3,-0.6,7.6,24,,,
경기,2016-01-15,2.8,-0.9,9.2,38,,,
경기,2016-01-16,0.9,-1.5,3.7,58,,,
경기,2016-01-17,-3.6,-6.4,0.5,32,,,
경기,2016-01-18,-1.1,-7.1,3.1,50,,,
경기,2016-01-19,0.9,-2.6,4.6,51,,,
경기,2016-01-20,-0.1,-6.1,5.6,39,,,
경기,2016-01-21,3.3,-1.3,7.6,47,,,
경기,2016-01-22,2.8,-0.9,8.3,50,,,
경기,2016-01-23,1.1,-2.3,4.9,52,,,
경기,2016-01-24,3.1,0.2,8.9,48,,,
경기,2016-01-25,3.4,-0.4,5.5,57,,,
경기,2016-01-26,4.2,0.8,6.5,74,,,
경기,2016-01-27,-2.2,-6.2,1.4,34,,,
경기,2016-01-28,-3.6,-7.6,2.4,36,,,
경기,2016-01-29,0.1,-4.8,4,49,,,
경기,2016-01-30,-1.9,-5.6,1.5,35,,,
경기,2016-01-31,-3.9,-7.1,1.1,29,,,
경기,2016-02-01,-2.5,-9.1,4.3,22,,,
경기,2016-02-02,-1.1,-6.4,6.4,27,,,
경기,2016-02-03,-0.2,-5.1,6.5,31,,,
경기,2016-02-04,0.4,-4.7,6.1,36,,,
경기,2016-02-05,0.4,-3.9,5.5,40,,,
경기,2016-02-06,-0.2,-5,6.2,42,,,
경기,2016-02-07,1.2,-3,6.5,47,,,
경기,2016-02-08,-8.1,-10.5,-1.3,28,,,
경기,2016-02-09,-4.2,-11.7,1.1,25,,,
경기,2016-02-10,2,-2.9,7.6,46,,,
경기,2016-02-11,2.8,-1.2,8.3,21,,,
경기,2016-02-12,-1,-3.5,3,23,,,
경기,2016-02-13,-1,-5.3,3.7,25,,,
경기,2016-02-14,1.6,-4.4,8.6,61,,,
경기,2016-02-15,7.6,0,12.9,44,,,
경기,2016-02-16,5.3,3.6,8.4,65,,,
경기,2016-02-17,2.5,1.3,4,62,,,
경기,2016-02-18,1,-1.6,3.3,63,,,
경기,2016-02-19,1.9,-3.8,8.6,39,,,
경기,2016-02-20,4.8,-3.1,11.2,37,,,
경기,2016-02-21,6.4,5.6,7.3,51,,,
경기,2016-02-22,3.8,0.8,7.4,54,,,
경기,2016-02-23,1.2,-1,6,43,,,
경기,2016-02-24,2.3,-1.8,7.8,33,,,
경기,2016-02-25,5.4,-0.6,12.1,21,,,
경기,2016-02-26,1.7,-2.6,5.3,33,,,
경기,2016-02-27,-0.5,-4.5,4.3,23,,,
경기,2016-02-28,3,-2.7,7.4,29,,,
경기,2016-03-01,2.8,0.4,6,47,,,
경기,2016-03-02,3.4,-3,10.1,27,,,
경기,2016-03-03,3.5,-0.9,8.5,35,,,
경기,2016-03-04,-1.1,-3.6,2.9,29,,,
경기,2016-03-05,-0.4,-5.5,5.9,27,,,
경기,2016-03-06,2.4,-4.4,10.7,16,,,
경기,2016-03-07,3,-4.3,11.6,20,,,
경기,2016-03-08,7.1,-1.8,16,18,,,
경기,2016-03-09,2.7,-4.4,8.4,27,,,
경기,2016-03-10,-2.4,-6,1.3,23,,,
경기,2016-03-11,0.7,-5.3,7.7,25,,,
경기,2016-03-12,2.9,-3.8,7.8,20,,,
경기,2016-03-13,6.1,2.4,11.5,19,,,
경기,2016-03-14,4.2,-1.9,11.6,21,,,
경기,2016-03-15,4.9,-2.1,12.8,19,,,
경기,2016-03-16,8.8,0,18.6,18,,,
경기,2016-03-17,10.7,3.8,17.8,26,,,
경기,2016-03-18,10.3,7.4,13.8,50,,,
경기,2016-03-19,11.7,5.4,20.1,40,,,
경기,2016-03-20,12.1,5.4,21.8,14,,,
경기,2016-03-21,10.5,4,18.2,24,,,
경기,2016-03-22,7.2,1.9,15,23,,,
경기,2016-03-23,5.3,0.9,9.7,15,,,
경기,2016-03-24,4.6,-1.9,12,15,,,
경기,2016-03-25,6.1,-1.2,14,17,,,
경기,2016-03-26,6.9,-0.6,14.9,23,,,
경기,2016-03-27,7.8,0.9,17,24,,,
경기,2016-03-28,9.2,-0.5,17.9,15,,,
경기,2016-03-29,9.5,5.7,15.3,37,,,
경기,2016-03-30,12.3,3.7,21.7,24,,,
경기,2016-03-31,12.5,7.5,15,66,,,
경기,2016-04-01,13.4,11.1,17.8,44,,,
경기,2016-04-02,15.9,10.3,21.9,46,,,
경기,2016-04-03,9.7,6.9,16.2,71,,,
경기,2016-04-04,13.3,8.6,18.7,37,,,
경기,2016-04-05,10.7,9.9,12.2,76,,,
경기,2016-04-06,11.1,7.7,15.3,34,,,
경기,2016-04-07,9,4.8,14,49,,,
경기,2016-04-08,8.8,4.9,14.2,41,,,
경기,2016-04-09,9.2,4.7,15.7,33,,,
경기,2016-04-10,10.1,3,19.6,21,,,
경기,2016-04-11,12,4,20.7,22,,,
경기,2016-04-12,14.5,6.9,19.9,19,,,
경기,2016-04-13,11.9,7.6,17.2,26,,,
경기,2016-04-14,7.9,7,9.9,73,,,
경기,2016-04-15,11.5,6.3,18.4,46,,,
경기,2016-04-16,10.1,7.1,16.2,55,,,
경기,2016-04-17,10.3,3.1,18,29,,,
경기,2016-04-18,15,3.6,22.8,14,,,
경기,2016-04-19,14.1,11.7,17.8,29,,,
경기,2016-04-20,12.4,8.6,16.6,51,,,
경기,2016-04-21,13.1,6,21.4,18,,,
경기,2016-04-22,13.1,7.7,20.2,42,,,
경기,2016-04-23,14.1,6.1,21.4,19,,,
경기,2016-04-24,15.3,9.9,23,15,,,
경기,2016-04-25,14.9,7.3,23.3,10,,,
경기,2016-04-26,17.2,7.6,25.8,17,,,
경기,2016-04-27,17.9,10.9,25.9,21,,,
경기,2016-04-28,19.3,9.7,26.1,29,,,
경기,2016-04-29,17.1,16.2,17.8,68,,,
경기,2016-04-30,19.9,14.5,27.4,40,,,
경기,2016-05-01,19.5,13.8,26.2,48,,,
경기,2016-05-02,19.9,14,26.5,48,,,
경기,2016-05-03,18,15.2,19.7,90,,,
경기,2016-05-04,15.4,10.7,21.3,18,,,
경기,2016-05-05,13.7,7.3,20.3,18,,,
경기,2016-05-06,14.8,8.7,22.1,17,,,
경기,2016-05-07,15.8,9.1,24.5,17,,,
경기,2016-05-08,16.2,11.3,21.6,47,,,
경기,2016-05-09,17.1,12.8,23,39,,,
경기,2016-05-10,17.8,11.1,25.4,26,,,
경기,2016-05-11,18,12.9,23.1,45,,,
경기,2016-05-12,14,10.3,19.1,52,,,
경기,2016-05-13,18.4,10.5,24.5,39,,,
경기,2016-05-14,20.5,13.3,27.1,48,,,
경기,2016-05-15,17.8,14.1,21.8,73,,,
경기,2016-05-16,17.2,9.8,25.6,17,,,
경기,2016-05-17,17.8,10.2,26,16,,,
경기,2016-05-18,17.9,13.4,23,35,,,
경기,2016-05-19,15.1,12.9,18,85,,,
경기,2016-05-20,15.7,9.9,21.1,40,,,
경기,2016-05-21,18.1,11.1,26.6,28,,,
경기,2016-05-22,19.4,12.4,27.8,26,,,
경기,2016-05-23,19.7,11.8,28.5,22,,,
경기,2016-05-24,19.4,12,27.4,15,,,
경기,2016-05-25,19,12.7,27.5,26,,,
경기,2016-05-26,20,12.2,29.6,25,,,
경기,2016-05-27,22.6,12.4,31.3,16,,,
경기,2016-05-28,23.4,15.7,31.8,20,,,
경기,2016-05-29,22.7,16.8,29.9,27,,,
경기,2016-05-30,18.1,15.6,22.4,57,,,
경기,2016-05-31,20.5,14.6,29,28,,,
경기,2016-06-01,21.1,13.9,28.5,32,,,
경기,2016-06-02,22.4,17.6,29.7,33,,,
경기,2016-06-03,22.1,17.2,27.9,21,,,
경기,2016-06-04,22.4,14.3,30.6,20,,,
경기,2016-06-05,19,16.5,21.8,35,,,
경기,2016-06-06,21.7,15.6,27.1,38,,,
경기,2016-06-07,22.9,17.2,30.5,30,,,
경기,2016-06-08,22.1,17.8,26.9,43,,,
경기,2016-06-09,21.1,17.3,27.8,49,,,
경기,2016-06-10,24.1,15.9,33.6,26,,,
경기,2016-06-11,23.8,18.8,28.5,33,,,
경기,2016-06-12,23.8,18.6,29.7,41,,,
경기,2016-06-13,24.2,18.6,29.7,51,,,
경기,2016-06-14,22.9,18.7,27.7,50,,,
경기,2016-06-15,24.1,19.9,30.2,46,,,
경기,2016-06-16,23.3,18.5,30,51,,,
경기,2016-06-17,23.1,18.9,29.2,52,,,
경기,2016-06-18,24.8,20.5,30.3,41,,,
경기,2016-06-19,24.4,21,30,43,,,
경기,2016-06-20,20,17.7,22.3,76,,,
경기,2016-06-21,22.3,16.2,29.9,41,,,
경기,2016-06-22,23.4,18.1,30,47,,,
경기,2016-06-23,24,18.8,31.3,43,,,
경기,2016-06-24,25.1,19.6,31.5,46,,,
경기,2016-06-25,23.5,20.5,27.7,50,,,
경기,2016-06-26,21.5,18.6,25.4,57,,,
경기,2016-06-27,24.9,20.4,30.1,41,,,
경기,2016-06-28,24.2,19.2,30.1,51,,,
경기,2016-06-29,25,19.5,30.8,43,,,
경기,2016-06-30,24.4,21.4,30.4,40,,,
경기,2016-07-01,23.4,20,27.8,44,,,
경기,2016-07-02,23.4,19.6,29.9,37,,,
경기,2016-07-03,22.7,18.8,28.8,35,,,
경기,2016-07-04,23.1,16.8,30.2,32,,,
경기,2016-07-05,23.3,18.1,29.7,38,,,
경기,2016-07-06,24.2,18.6,31.8,37,,,
경기,2016-07-07,24.1,20.2,28.2,42,,,
경기,2016-07-08,22.6,19.7,25.8,58,,,
경기,2016-07-09,25.6,22.6,30.1,55,,,
경기,2016-07-10,28,23.4,33.5,50,,,
경기,2016-07-11,29.3,24.7,35,47,,,
경기,2016-07-12,25,24,26.7,85,,,
경기,2016-07-13,23.1,21.5,25.4,85,,,
경기,2016-07-14,25.2,21.9,31,57,,,
경기,2016-07-15,27.5,21.2,34.3,37,,,
경기,2016-07-16,25,21.1,29.5,43,,,
경기,2016-07-17,24,19,29.5,39,,,
경기,2016-07-18,23.8,22.4,27.4,51,,,
경기,2016-07-19,24.8,20.6,29.1,64,,,
경기,2016-07-20,27.7,24,30.8,67,,,
경기,2016-07-21,26.7,24.3,30.5,73,,,
경기,2016-07-22,27,24.2,31.5,67,,,
경기,2016-07-23,26.2,24.2,30.9,69,,,
경기,2016-07-24,24.5,23.5,25.3,99,,,
경기,2016-07-25,25.4,23.6,27.4,87,,,
경기,2016-07-26,27.5,24,32.9,58,,,
경기,2016-07-27,25.9,24,30,74,,,
경기,2016-07-28,27.7,24.5,32.1,57,,,
경기,2016-07-29,26.3,23.9,29.6,86,,,
경기,2016-07-30,28.5,25.3,33.7,61,,,
경기,2016-07-31,27.6,25.2,32.8,65,,,
경기,2016-08-01,28.2,25.3,32.7,61,,,
경기,2016-08-02,26.5,23,30.5,74,,,
경기,2016-08-03,27.7,24.8,31.8,59,,,
경기,2016-08-04,27.5,24.3,31.8,63,,,
경기,2016-08-05,28.8,26,33.7,50,,,
경기,2016-08-06,29.1,24.2,34.7,49,,,
경기,2016-08-07,30.1,25.5,35.3,48,,,
경기,2016-08-08,27.6,24.7,33.5,59,,,
경기,2016-08-09,26.6,23.2,31.2,60,,,
경기,2016-08-10,26,23.3,31,61,,,
경기,2016-08-11,26.2,22.6,30.3,58,,,
경기,2016-08-12,27.4,22.3,33.4,42,,,
경기,2016-08-13,26.3,23.6,32.1,52,,,
경기,2016-08-14,26.6,23.3,32.4,50,,,
경기,2016-08-15,27.1,22.9,32.5,52,,,
경기,2016-08-16,25.3,21.1,31.6,56,,,
경기,2016-08-17,26.3,20.2,33,41,,,
경기,2016-08-18,27.8,24.1,33.4,40,,,
경기,2016-08-19,26.9,23.9,30.1,53,,,
경기,2016-08-20,25.9,23.7,29.8,64,,,
경기,2016-08-21,24.8,22.7,28.5,62,,,
경기,2016-08-22,25,22.1,30.3,54,,,
경기,2016-08-23,26.1,21.4,32.3,45,,,
경기,2016-08-24,26.1,23.3,30.9,50,,,
경기,2016-08-25,21.9,19.7,25.1,63,,,
경기,2016-08-26,23.1,19.7,27.4,51,,,
경기,2016-08-27,24.1,19.8,29.7,25,,,
경기,2016-08-28,23,18.2,29.4,55,,,
경기,2016-08-29,24.1,19.1,30.7,43,,,
경기,2016-08-30,24.5,18.9,31.4,39,,,
경기,2016-08-31,25.9,20.6,31.2,45,,,
경기,2016-09-01,26,23,30.8,47,,,
경기,2016-09-02,24.1,21.9,27.3,65,,,
경기,2016-09-03,23.4,19.7,28.2,61,,,
경기,2016-09-04,24.2,19.9,30.6,48,,,
경기,2016-09-05,22.8,20.6,25.7,63,,,
경기,2016-09-06,22.7,19.7,26.5,55,,,
경기,2016-09-07,22.8,16.3,28.6,39,,,
경기,2016-09-08,22.5,15.6,28.6,25,,,
경기,2016-09-09,22.4,14.2,29.3,29,,,
경기,2016-09-10,22.4,17.1,28,45,,,
경기,2016-09-11,21,16.9,25.7,59,,,
경기,2016-09-12,19.3,16.1,24,33,,,
경기,2016-09-13,19.7,13,26.4,26,,,
경기,2016-09-14,21.3,14.6,28.3,36,,,
경기,2016-09-15,22.1,16.2,27.6,32,,,
경기,2016-09-16,21.2,16.1,25.2,37,,,
경기,2016-09-17,21.3,15.4,27.4,38,,,
경기,2016-09-18,21.6,15.9,27.8,41,,,
경기,2016-09-19,21.8,16.6,28.5,43,,,
경기,2016-09-20,21.7,17.9,28,42,,,
경기,2016-09-21,21.3,15.7,29.1,33,,,
경기,2016-09-22,23.1,16.2,30.5,30,,,
경기,2016-09-23,21.3,18.1,24.5,50,,,
경기,2016-09-24,22.1,15.8,29.9,37,,,
경기,2016-09-25,22.6,18,29.2,42,,,
경기,2016-09-26,21.6,16.5,27.8,33,,,
경기,2016-09-27,20.5,12.8,29.7,28,,,
경기,2016-09-28,21.9,13.1,30,19,,,
경기,2016-09-29,22.6,15.3,28.3,24,,,
경기,2016-09-30,21.3,19.6,25.1,36,,,
경기,2016-10-01,16.9,12.5,20.4,45,,,
경기,2016-10-02,15.9,7.6,22.4,35,,,
경기,2016-10-03,18.7,14.2,25.3,30,,,
경기,2016-10-04,16.3,11.2,24.4,23,,,
경기,2016-10-05,17.4,10.5,25.9,29,,,
경기,2016-10-06,17.5,10.5,26.6,32,,,
경기,2016-10-07,19.1,12.2,26.5,38,,,
경기,2016-10-08,19.4,13.9,25.9,28,,,
경기,2016-10-09,16.2,11.5,20.8,20,,,
경기,2016-10-10,13.2,9.8,17.4,52,,,
경기,2016-10-11,10.2,6.5,15.6,64,,,
경기,2016-10-12,12.9,8.3,18,44,,,
경기,2016-10-13,14.6,6.7,22.2,42,,,
경기,2016-10-14,16.3,10.6,24.6,31,,,
경기,2016-10-15,17.2,10.7,26.6,29,,,
경기,2016-10-16,17.2,12.8,24.6,44,,,
경기,2016-10-17,17.3,11.3,26.7,43,,,
경기,2016-10-18,16.3,10.6,25.1,43,,,
경기,2016-10-19,17.4,12.2,24.4,38,,,
경기,2016-10-20,17.7,13.2,25,49,,,
경기,2016-10-21,17.2,12.6,24,51,,,
경기,2016-10-22,17.5,13.1,23.3,51,,,
경기,2016-10-23,17.1,14,22.6,47,,,
경기,2016-10-24,16.9,11.7,22.8,34.5,,,
경기,2016-10-25,15.5,10.4,22.4,34,,,
경기,2016-10-26,15.6,10.8,20.9,45.5,,,
경기,2016-10-27,12.8,7.6,17.7,39.3,,,
경기,2016-10-28,11.5,6.1,17.7,32,,,
경기,2016-10-29,9.2,3.4,15.4,25,,,
경기,2016-10-30,6.9,4.2,11.5,30,,,
경기,2016-10-31,5.6,-0.1,12.7,23,,,
경기,2016-11-01,7.3,0.7,12.5,33,,,
경기,2016-11-02,10.7,5.1,16.7,40.4,,,
경기,2016-11-03,11,5.2,19.1,39,,,
경기,2016-11-04,11.9,4.9,20.6,31,,,
경기,2016-11-05,12.7,7.2,19.9,46.1,,,
경기,2016-11-06,14.3,7.5,20.7,40.9,,,
경기,2016-11-07,11.8,10.4,12.9,92.8,,,
경기,2016-11-08,12.2,11.5,12.9,86,,,
경기,2016-11-09,11.7,10.5,13,74,,,
경기,2016-11-10,10.3,6.5,14.7,61,,,
경기,2016-11-11,11.1,5.9,17.4,55,,,
경기,2016-11-12,14.2,8.2,19.7,51,,,
경기,2016-11-13,12.1,11.1,14.1,58,,,
경기,2016-11-14,12.9,11.2,14,95,,,
경기,2016-11-15,13.6,10.1,19.5,59,,,
경기,2016-11-16,12.5,9.1,15.4,65,,,
경기,2016-11-17,14.7,11.4,20.2,49,,,
경기,2016-11-18,11.9,9.3,14.1,59,,,
경기,2016-11-19,10,8,11.8,67,,,
경기,2016-11-20,10.3,7.9,14.1,64.9,,,
경기,2016-11-21,8.8,5.1,15,41,,,
경기,2016-11-22,10.5,4.2,16.5,45,,,
경기,2016-11-23,9.5,8.3,11.4,74,,,
경기,2016-11-24,6.6,3,9.9,56.4,,,
경기,2016-11-25,3.7,1.3,6,71.3,,,
경기,2016-11-26,-1.2,-3.1,2.2,58,,,
경기,2016-11-27,-1,-4.8,2.5,56,,,
경기,2016-11-28,1.5,0,3.4,53.6,,,
경기,2016-11-29,3.8,2.2,5.3,81,,,
경기,2016-11-30,4.8,-0.4,9.4,43.1,,,
경기,2016-12-01,3.8,-2,11.4,25,,,
경기,2016-12-02,6.9,3,9.2,51.7,,,
경기,2016-12-03,0.1,-2.3,4.4,64,,,
경기,2016-12-04,-0.9,-4.6,1.7,59,,,
경기,2016-12-05,4,0.6,9.1,38,,,
경기,2016-12-06,1.5,-2.1,7.3,28,,,
경기,2016-12-07,1.8,-4.1,8,43,,,
경기,2016-12-08,2.1,-2.5,9.5,36,,,
경기,2016-12-09,5.5,-2.2,13,40,,,
경기,2016-12-10,9.1,7.4,10.8,60.6,,,
경기,2016-12-11,7.5,4.2,13.4,38,,,
경기,2016-12-12,6,0.1,11,40,,,
경기,2016-12-13,6.3,1.9,12.8,33,,,
경기,2016-12-14,6.1,1.9,8,58,,,
경기,2016-12-15,6,0,8.7,0,,,
경기,2016-12-16,0.5,-3.4,4.3,36.1,,,
경기,2016-12-17,-3.1,-5.9,0.9,29,,,
경기,2016-12-18,-1.7,-7,1.5,51,,,
경기,2016-12-19,0.2,-4.4,7.6,41,,,
경기,2016-12-20,1.9,-3.7,5.8,40,,,
경기,2016-12-21,2.8,-0.9,6.9,55,,,
경기,2016-12-22,4.2,-0.4,9.2,46,,,
경기,2016-12-23,6.5,2.5,12.5,51,,,
경기,2016-12-24,2.3,-0.1,7.7,47,,,
경기,2016-12-25,0.4,-3,5.2,19,,,
경기,2016-12-26,1.7,-2.2,8,52,,,
경기,2016-12-27,-4,-7.4,0.5,23,,,
경기,2016-12-28,-4.2,-8.8,1.4,21,,,
경기,2016-12-29,-2.7,-9.3,3.7,36,,,
경기,2016-12-30,1.5,-3.4,6,46.9,,,
경기,2016-12-31,1.3,-2.6,5.8,58,,,
