지역,날짜,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
울산,2016-01-01,-2.7,-4.9,0.4,17,,,
울산,2016-01-02,-1,-4.5,2.9,26,,,
울산,2016-01-03,1,-5.2,7.4,9,,,
울산,2016-01-04,4.4,-2,12.6,33,,,
울산,2016-01-05,6.9,-1,12.7,42,,,
울산,2016-01-06,6.5,0.9,9.6,17,,,
울산,2016-01-07,-0.4,-3.8,3.5,17,,,
울산,2016-01-08,0.6,-4.5,6.3,13,,,
울산,2016-01-09,2.6,-0.3,6.7,29,,,
울산,2016-01-10,3.5,-0.6,8.3,19,,,
울산,2016-01-11,2.4,-3.1,9.8,16,,,
울산,2016-01-12,2.1,-2.5,7.7,30,,,
울산,2016-01-13,3.9,-2.4,11,28,,,
울산,2016-01-14,4.7,2.3,7.3,54,,,
울산,2016-01-15,6.5,2.5,9.5,58,,,
울산,2016-01-16,4.6,-0.4,11.5,27,,,
울산,2016-01-17,2.4,-0.5,6,14,,,
울산,2016-01-18,4.3,-1.9,11.1,6,,,
울산,2016-01-19,5.5,2.1,9.2,31,,,
울산,2016-01-20,4.1,-1.3,10.1,36,,,
울산,2016-01-21,6.2,3.2,10,54,,,
울산,2016-01-22,5.5,3.3,7.5,56,,,
울산,2016-01-23,4.1,-0.3,9.7,34,,,
울산,2016-01-24,4.3,-1,10.6,35,,,
울산,2016-01-25,6.3,0,11,51,,,
울산,2016-01-26,9.3,6.9,12.3,65,,,
울산,2016-01-27,4.8,0.5,9.4,32,,,
울산,2016-01-28,0.8,-3,5.1,36,,,
울산,2016-01-29,3.5,-0.5,6.8,55,,,
울산,2016-01-30,3.1,-0.6,7,28,,,
울산,2016-01-31,0,-4.3,5.1,18,,,
울산,2016-02-01,1.3,-4.5,8.6,15,,,
울산,2016-02-02,2.8,-3,9.2,30,,,
울산,2016-02-03,4,-1.5,11,28,,,
울산,2016-02-04,4.1,2,8.1,29,,,
울산,2016-02-05,3.3,0.7,7.7,33,,,
울산,2016-02-06,4.2,-0.8,10.7,19,,,
울산,2016-02-07,5,-0.6,12.4,24,,,
울산,2016-02-08,-0.4,-5.8,4.9,11,,,
울산,2016-02-09,-2.4,-8.2,2.8,11,,,
울산,2016-02-10,4,-1.2,10.1,27,,,
울산,2016-02-11,5.1,-1.4,11.5,27,,,
울산,2016-02-12,3.7,-0.2,8.2,16,,,
울산,2016-02-13,1.6,-3.7,6.7,16,,,
울산,2016-02-14,5.7,-1.4,12.8,16,,,
울산,2016-02-15,7.3,0.9,14.1,29,,,
울산,2016-02-16,6,5.2,8.3,71,,,
울산,2016-02-17,5.5,2.4,10,37,,,
울산,2016-02-18,4,0.8,8.1,41,,,
울산,2016-02-19,3.9,0.4,9.4,37,,,
울산,2016-02-20,4.9,-1,11.4,39,,,
울산,2016-02-21,7.7,3.5,10.7,61,,,
울산,2016-02-22,11.1,5.4,16.4,42,,,
울산,2016-02-23,6.6,2.5,13.8,17,,,
울산,2016-02-24,6.5,2.9,12.4,19,,,
울산,2016-02-25,7.7,2.7,13.1,39,,,
울산,2016-02-26,7.7,2.1,14.6,16,,,
울산,2016-02-27,1.6,-1.6,5.6,17,,,
울산,2016-02-28,4.5,1.7,7.1,46,,,
울산,2016-03-01,4.6,1.8,8.6,35,,,
울산,2016-03-02,5.2,0.6,11,20,,,
울산,2016-03-03,3.9,2.1,6,60,,,
울산,2016-03-04,3,-0.4,7.5,17,,,
울산,2016-03-05,2.8,-2.5,9,28,,,
울산,2016-03-06,5.1,1.6,9.1,42,,,
울산,2016-03-07,6.1,0.4,13,40,,,
울산,2016-03-08,6.5,0.5,12.3,39,,,
울산,2016-03-09,8,-0.1,15.7,13,,,
울산,2016-03-10,-0.1,-4.3,4.7,10,,,
울산,2016-03-11,4.8,-1.2,10.4,17,,,
울산,2016-03-12,5.9,-0.3,12.2,11,,,
울산,2016-03-13,8.8,3.4,13.6,31,,,
울산,2016-03-14,8,3.7,12.8,12,,,
울산,2016-03-15,10,2.4,17.5,23,,,
