날짜,지역,발생수
2017-01-01,경기,1384
2017-01-02,경기,11164
2017-01-03,경기,6836
2017-01-04,경기,1141
2017-01-05,경기,11059
2017-01-06,경기,7290
2017-01-07,경기,7131
2017-01-08,경기,7123
2017-01-09,경기,7963
2017-01-10,경기,6525
2017-01-11,경기,1163
2017-01-12,경기,10160
2017-01-13,경기,7367
2017-01-14,경기,7313
2017-01-15,경기,7321
2017-01-16,경기,7930
2017-01-17,경기,6712
2017-01-18,경기,1307
2017-01-19,경기,10253
2017-01-20,경기,7489
2017-01-21,경기,7343
2017-01-22,경기,7351
2017-01-23,경기,8213
2017-01-24,경기,6677
2017-01-25,경기,1297
2017-01-26,경기,10971
2017-01-27,경기,7499
2017-01-28,경기,7337
2017-01-29,경기,7654
2017-01-30,경기,8213
2017-01-31,경기,7031
2017-02-01,경기,1593
2017-02-02,경기,11209
2017-02-03,경기,7916
2017-02-04,경기,7650
2017-02-05,경기,7848
2017-02-06,경기,8480
2017-02-07,경기,7678
2017-02-08,경기,1437
2017-02-09,경기,11199
2017-02-10,경기,8591
2017-02-11,경기,8586
2017-02-12,경기,8551
2017-02-13,경기,9651
2017-02-14,경기,8578
2017-02-15,경기,1503
2017-02-16,경기,13460
2017-02-17,경기,13488
2017-02-18,경기,1919
2017-02-19,경기,508
2017-02-20,경기,1532
2017-02-21,경기,7748
2017-02-22,경기,1556
2017-02-23,경기,12433
2017-02-24,경기,8381
2017-02-25,경기,8066
2017-02-26,경기,7667
2017-02-27,경기,8387
2017-02-28,경기,6943
2017-03-01,경기,1375
2017-03-02,경기,9997
2017-03-03,경기,6904
2017-03-04,경기,6798
2017-03-05,경기,6751
2017-03-06,경기,7667
2017-03-07,경기,6614
2017-03-08,경기,1180
2017-03-09,경기,10219
2017-03-10,경기,7136
2017-03-11,경기,7510
2017-03-12,경기,7817
2017-03-13,경기,8499
2017-03-14,경기,7472
2017-03-15,경기,1463
2017-03-16,경기,11214
2017-03-17,경기,8148
2017-03-18,경기,7715
2017-03-19,경기,8256
2017-03-20,경기,8939
2017-03-21,경기,8301
2017-03-22,경기,1594
2017-03-23,경기,12867
2017-03-24,경기,8807
2017-03-25,경기,8874
2017-03-26,경기,9022
2017-03-27,경기,9597
2017-03-28,경기,8643
2017-03-29,경기,1608
2017-03-30,경기,12587
2017-03-31,경기,8588
2017-04-01,경기,9155
2017-04-02,경기,8340
2017-04-03,경기,9422
2017-04-04,경기,8166
2017-04-05,경기,1497
2017-04-06,경기,11949
2017-04-07,경기,8174
2017-04-08,경기,8326
2017-04-09,경기,8220
2017-04-10,경기,8979
2017-04-11,경기,7705
2017-04-12,경기,1480
2017-04-13,경기,12220
2017-04-14,경기,8106
2017-04-15,경기,8326
2017-04-16,경기,7725
2017-04-17,경기,8868
2017-04-18,경기,7617
2017-04-19,경기,1476
2017-04-20,경기,11717
2017-04-21,경기,7978
2017-04-22,경기,8133
2017-04-23,경기,8069
2017-04-24,경기,9063
2017-04-25,경기,8101
2017-04-26,경기,1466
2017-04-27,경기,12803
2017-04-28,경기,8869
2017-04-29,경기,8365
2017-04-30,경기,8717
2017-05-01,경기,8455
2017-05-02,경기,7135
2017-05-03,경기,1331
2017-05-04,경기,12934
2017-05-05,경기,1746
2017-05-06,경기,11277
2017-05-07,경기,8469
2017-05-08,경기,8698
2017-05-09,경기,7601
2017-05-10,경기,1370
2017-05-11,경기,11111
2017-05-12,경기,7893
2017-05-13,경기,7658
2017-05-14,경기,7579
2017-05-15,경기,7994
2017-05-16,경기,6824
2017-05-17,경기,1372
2017-05-18,경기,11317
2017-05-19,경기,7610
2017-05-20,경기,7936
2017-05-21,경기,7738
2017-05-22,경기,8943
2017-05-23,경기,7499
2017-05-24,경기,1254
2017-05-25,경기,2452
2017-05-26,경기,11429
2017-05-27,경기,7464
2017-05-28,경기,7174
2017-05-29,경기,8085
2017-05-30,경기,6906
2017-05-31,경기,1264
2017-06-01,경기,10407
2017-06-02,경기,7181
2017-06-03,경기,7277
2017-06-04,경기,6896
2017-06-05,경기,8340
2017-06-06,경기,2218
2017-06-07,경기,1035
2017-06-08,경기,9606
