날짜,지역,발생수
2017-01-01,울산,204
2017-01-02,울산,1310
2017-01-03,울산,764
2017-01-04,울산,119
2017-01-05,울산,1268
2017-01-06,울산,918
2017-01-07,울산,841
2017-01-08,울산,850
2017-01-09,울산,922
2017-01-10,울산,805
2017-01-11,울산,127
2017-01-12,울산,1220
2017-01-13,울산,839
2017-01-14,울산,848
2017-01-15,울산,803
2017-01-16,울산,902
2017-01-17,울산,744
2017-01-18,울산,126
2017-01-19,울산,1278
2017-01-20,울산,898
2017-01-21,울산,815
2017-01-22,울산,881
2017-01-23,울산,929
2017-01-24,울산,808
2017-01-25,울산,111
2017-01-26,울산,1339
2017-01-27,울산,931
2017-01-28,울산,864
2017-01-29,울산,893
2017-01-30,울산,1025
2017-01-31,울산,814
2017-02-01,울산,183
2017-02-02,울산,1317
2017-02-03,울산,940
2017-02-04,울산,912
2017-02-05,울산,856
2017-02-06,울산,1004
2017-02-07,울산,875
2017-02-08,울산,161
2017-02-09,울산,1281
2017-02-10,울산,976
2017-02-11,울산,989
2017-02-12,울산,954
2017-02-13,울산,1129
2017-02-14,울산,951
2017-02-15,울산,155
2017-02-16,울산,1650
2017-02-17,울산,1594
2017-02-18,울산,285
2017-02-19,울산,44
2017-02-20,울산,123
2017-02-21,울산,889
2017-02-22,울산,142
2017-02-23,울산,1583
2017-02-24,울산,970
2017-02-25,울산,966
2017-02-26,울산,998
2017-02-27,울산,1044
2017-02-28,울산,756
2017-03-01,울산,178
2017-03-02,울산,1256
2017-03-03,울산,816
2017-03-04,울산,854
2017-03-05,울산,767
2017-03-06,울산,920
2017-03-07,울산,804
2017-03-08,울산,130
2017-03-09,울산,1199
2017-03-10,울산,799
2017-03-11,울산,843
2017-03-12,울산,859
2017-03-13,울산,857
2017-03-14,울산,896
2017-03-15,울산,125
2017-03-16,울산,1306
2017-03-17,울산,941
2017-03-18,울산,849
2017-03-19,울산,1000
2017-03-20,울산,1086
2017-03-21,울산,934
2017-03-22,울산,156
2017-03-23,울산,1439
2017-03-24,울산,1054
2017-03-25,울산,1036
2017-03-26,울산,1082
2017-03-27,울산,1104
2017-03-28,울산,1030
2017-03-29,울산,137
2017-03-30,울산,1482
2017-03-31,울산,1017
