지점,날짜,O3
강원,20160101,0.029
강원,20160102,0.037
강원,20160103,0.039
강원,20160104,0.036
강원,20160105,0.028
강원,20160106,0.028
강원,20160107,0.024
강원,20160108,0.026
강원,20160109,0.028
강원,20160110,0.025
강원,20160111,0.029
강원,20160112,0.023
강원,20160113,0.023
강원,20160114,0.029
강원,20160115,0.018
강원,20160116,0.027
강원,20160117,0.018
강원,20160118,0.025
강원,20160119,0.03
강원,20160120,0.024
강원,20160121,0.021
강원,20160122,0.023
강원,20160123,0.029
강원,20160124,0.031
강원,20160125,0.025
강원,20160126,0.033
강원,20160127,0.029
강원,20160128,0.023
강원,20160129,0.019
강원,20160130,0.018
강원,20160131,0.019
강원,20160201,0.023
강원,20160202,0.023
강원,20160203,0.021
강원,20160204,0.031
강원,20160205,0.03
강원,20160206,0.032
강원,20160207,0.029
강원,20160208,0.04
강원,20160209,0.035
강원,20160210,0.027
강원,20160211,0.01
강원,20160212,0.011
강원,20160213,0.018
강원,20160214,0.028
강원,20160215,0.032
강원,20160216,0.03
강원,20160217,0.028
강원,20160218,0.041
강원,20160219,0.032
강원,20160220,0.025
강원,20160221,0.035
강원,20160222,0.032
강원,20160223,0.033
강원,20160224,0.027
강원,20160225,0.031
강원,20160226,0.027
강원,20160227,0.034
강원,20160228,0.031
강원,20160229,0.034
강원,20160301,0.036
강원,20160302,0.047
강원,20160303,0.043
강원,20160304,0.033
강원,20160305,0.024
강원,20160306,0.025
강원,20160307,0.017
강원,20160308,0.02
강원,20160309,0.023
강원,20160310,0.025
강원,20160311,0.029
강원,20160312,0.035
강원,20160313,0.046
강원,20160314,0.031
강원,20160315,0.028
강원,20160316,0.046
강원,20160317,0.038
강원,20160318,0.031
강원,20160319,0.032
강원,20160320,0.024
강원,20160321,0.021
강원,20160322,0.048
강원,20160323,0.032
강원,20160324,0.027
강원,20160325,0.019
강원,20160326,0.032
강원,20160327,0.042
강원,20160328,0.056
강원,20160329,0.069
강원,20160330,0.046
강원,20160331,0.037
강원,20160401,0.044
강원,20160402,0.039
강원,20160403,0.041
강원,20160404,0.022
강원,20160405,0.039
강원,20160406,0.051
강원,20160407,0.027
강원,20160408,0.056
강원,20160409,0.071
강원,20160410,0.048
강원,20160411,0.036
강원,20160412,0.027
강원,20160413,0.028
강원,20160414,0.044
강원,20160415,0.03
강원,20160416,0.042
강원,20160417,0.048
강원,20160418,0.048
강원,20160419,0.037
강원,20160420,0.039
강원,20160421,0.03
강원,20160422,0.066
강원,20160423,0.037
강원,20160424,0.044
강원,20160425,0.032
강원,20160426,0.048
강원,20160427,0.043
강원,20160428,0.035
강원,20160429,0.031
강원,20160430,0.078
강원,20160501,0.07
강원,20160502,0.04
강원,20160503,0.036
강원,20160504,0.05
강원,20160505,0.042
강원,20160506,0.047
강원,20160507,0.043
강원,20160508,0.039
강원,20160509,0.029
강원,20160510,0.043
강원,20160511,0.039
강원,20160512,0.056
강원,20160513,0.036
강원,20160514,0.026
강원,20160515,0.033
강원,20160516,0.046
강원,20160517,0.051
강원,20160518,0.055
강원,20160519,0.047
강원,20160520,0.035
강원,20160521,0.038
강원,20160522,0.044
강원,20160523,0.034
강원,20160524,0.051
강원,20160525,0.073
강원,20160526,0.075
강원,20160527,0.051
강원,20160528,0.061
강원,20160529,0.082
강원,20160530,0.059
강원,20160531,0.069
강원,20160601,0.043
강원,20160602,0.031
강원,20160603,0.061
강원,20160604,0.06
강원,20160605,0.051
강원,20160606,0.038
강원,20160607,0.032
강원,20160608,0.026
강원,20160609,0.033
강원,20160610,0.021
강원,20160611,0.047
강원,20160612,0.035
강원,20160613,0.039
강원,20160614,0.026
강원,20160615,0.013
강원,20160616,0.038
강원,20160617,0.072
강원,20160618,0.082
강원,20160619,0.05
강원,20160620,0.04
강원,20160621,0.027
강원,20160622,0.021
강원,20160623,0.018
강원,20160624,0.036
강원,20160625,0.035
강원,20160626,0.039
강원,20160627,0.044
강원,20160628,0.044
강원,20160629,0.041
강원,20160630,0.03
강원,20160701,0.035
강원,20160702,0.044
강원,20160703,0.038
강원,20160704,0.023
강원,20160705,0.028
강원,20160706,0.027
강원,20160707,0.008
강원,20160708,0.022
강원,20160709,0.028
강원,20160710,0.042
강원,20160711,0.037
강원,20160712,0.036
강원,20160713,0.013
강원,20160714,0.024
강원,20160715,0.022
강원,20160716,0.019
강원,20160717,0.017
강원,20160718,0.019
강원,20160719,0.016
강원,20160720,0.015
강원,20160721,0.01
강원,20160722,0.012
강원,20160723,0.016
강원,20160724,0.018
강원,20160725,0.019
강원,20160726,0.027
강원,20160727,0.026
강원,20160728,0.051
강원,20160729,0.047
강원,20160730,0.037
강원,20160731,0.037
강원,20160801,0.023
강원,20160802,0.028
강원,20160803,0.019
강원,20160804,0.017
강원,20160805,0.018
강원,20160806,0.025
강원,20160807,0.043
강원,20160808,0.041
강원,20160809,0.029
강원,20160810,0.026
강원,20160811,0.039
강원,20160812,0.03
강원,20160813,0.035
강원,20160814,0.04
강원,20160815,0.027
강원,20160816,0.031
강원,20160817,0.022
강원,20160818,0.021
강원,20160819,0.014
강원,20160820,0.015
강원,20160821,0.023
강원,20160822,0.024
강원,20160823,0.021
강원,20160824,0.022
강원,20160825,0.033
강원,20160826,0.031
강원,20160827,0.024
강원,20160828,0.024
강원,20160829,0.024
강원,20160830,0.02
강원,20160831,0.03
강원,20160901,0.049
강원,20160902,0.031
강원,20160903,0.029
강원,20160904,0.025
강원,20160905,0.023
강원,20160906,0.025
강원,20160907,0.036
강원,20160908,0.029
강원,20160909,0.028
강원,20160910,0.023
강원,20160911,0.018
강원,20160912,0.021
강원,20160913,0.02
강원,20160914,0.014
강원,20160915,0.021
강원,20160916,0.027
강원,20160917,0.031
강원,20160918,0.028
강원,20160919,0.019
강원,20160920,0.018
강원,20160921,0.026
강원,20160922,0.025
강원,20160923,0.018
강원,20160924,0.028
강원,20160925,0.03
강원,20160926,0.019
강원,20160927,0.008
강원,20160928,0.023
강원,20160929,0.019
강원,20160930,0.009
강원,20161001,0.014
강원,20161002,0.016
강원,20161003,0.032
강원,20161004,0.021
강원,20161005,0.011
강원,20161006,0.016
강원,20161007,0.017
강원,20161008,0.032
강원,20161009,0.027
강원,20161010,0.021
강원,20161011,0.033
강원,20161012,0.023
강원,20161013,0.025
강원,20161014,0.039
강원,20161015,0.041
강원,20161016,0.024
강원,20161017,0.029
강원,20161018,0.026
강원,20161019,0.028
강원,20161020,0.039
강원,20161021,0.018
강원,20161022,0.021
강원,20161023,0.024
강원,20161024,0.018
강원,20161025,0.01
강원,20161026,0.016
강원,20161027,0.015
강원,20161028,0.014
강원,20161029,0.022
강원,20161030,0.019
강원,20161031,0.024
강원,20161101,0.023
강원,20161102,0.023
강원,20161103,0.024
강원,20161104,0.041
강원,20161105,0.049
강원,20161106,0.018
강원,20161107,0.01
강원,20161108,0.024
강원,20161109,0.022
강원,20161110,0.01
강원,20161111,0.02
강원,20161112,0.031
강원,20161113,0.024
강원,20161114,0.019
강원,20161115,0.023
강원,20161116,0.018
강원,20161117,0.021
강원,20161118,0.023
강원,20161119,0.026
강원,20161120,0.026
강원,20161121,0.019
강원,20161122,0.023
강원,20161123,0.02
강원,20161124,0.024
강원,20161125,0.023
강원,20161126,0.021
강원,20161127,0.026
강원,20161128,0.023
강원,20161129,0.019
강원,20161130,0.014
강원,20161201,0.03
강원,20161202,0.029
강원,20161203,0.021
강원,20161204,0.034
강원,20161205,0.035
강원,20161206,0.025
강원,20161207,0.022
강원,20161208,0.022
강원,20161209,0.021
강원,20161210,0.024
강원,20161211,0.021
강원,20161212,0.011
강원,20161213,0.02
강원,20161214,0.021
강원,20161215,0.02
강원,20161216,0.026
강원,20161217,0.026
강원,20161218,0.034
강원,20161219,0.019
강원,20161220,0.014
강원,20161221,0.013
강원,20161222,0.024
강원,20161223,0.023
강원,20161224,0.013
강원,20161225,0.01
강원,20161226,0.024
강원,20161227,0.022
강원,20161228,0.02
강원,20161229,0.019
강원,20161230,0.025
강원,20161231,0.028
강원,20170101,0.041
강원,20170102,0.038
강원,20170103,0.033
강원,20170104,0.032
강원,20170105,0.016
강원,20170106,0.014
강원,20170107,0.015
강원,20170108,0.017
강원,20170109,0.027
강원,20170110,0.028
강원,20170111,0.026
강원,20170112,0.028
강원,20170113,0.028
강원,20170114,0.026
강원,20170115,0.026
강원,20170116,0.021
강원,20170117,0.02
강원,20170118,0.025
강원,20170119,0.021
강원,20170120,0.02
강원,20170121,0.029
강원,20170122,0.031
강원,20170123,0.029
강원,20170124,0.023
강원,20170125,0.019
강원,20170126,0.033
강원,20170127,0.035
강원,20170128,0.019
강원,20170129,0.009
강원,20170130,0.025
강원,20170131,0.027
강원,20170201,0.032
강원,20170202,0.03
강원,20170203,0.035
강원,20170204,0.026
강원,20170205,0.032
강원,20170206,0.036
강원,20170207,0.026
강원,20170208,0.017
강원,20170209,0.024
강원,20170210,0.03
강원,20170211,0.029
강원,20170212,0.03
강원,20170213,0.03
강원,20170214,0.02
강원,20170215,0.038
강원,20170216,0.056
강원,20170217,0.036
강원,20170218,0.032
강원,20170219,0.04
강원,20170220,0.037
강원,20170221,0.029
강원,20170222,0.012
강원,20170223,0.029
강원,20170224,0.036
강원,20170225,0.035
강원,20170226,0.033
강원,20170227,0.024
강원,20170228,0.033
강원,20170301,0.054
강원,20170302,0.032
강원,20170303,0.035
강원,20170304,0.04
강원,20170305,0.033
강원,20170306,0.039
강원,20170307,0.037
강원,20170308,0.036
강원,20170309,0.039
강원,20170310,0.031
강원,20170311,0.035
강원,20170312,0.046
강원,20170313,0.042
강원,20170314,0.029
강원,20170315,0.031
강원,20170316,0.027
강원,20170317,0.032
강원,20170318,0.05
강원,20170319,0.047
강원,20170320,0.022
강원,20170321,0.035
강원,20170322,0.029
강원,20170323,0.03
강원,20170324,0.027
강원,20170325,0.018
강원,20170326,0.032
강원,20170327,0.035
강원,20170328,0.043
강원,20170329,0.047
강원,20170330,0.049
