날짜,지점,발생건수(건)
20160101,강원,253
20160102,강원,797
20160103,강원,94
20160104,강원,1638
20160105,강원,1096
20160106,강원,1027
20160107,강원,974
20160108,강원,1100
20160109,강원,757
20160110,강원,78
20160111,강원,1527
20160112,강원,1049
20160113,강원,993
20160114,강원,986
20160115,강원,1084
20160116,강원,781
20160117,강원,69
20160118,강원,1456
20160119,강원,945
20160120,강원,976
20160121,강원,1037
20160122,강원,1106
20160123,강원,711
20160124,강원,76
20160125,강원,1337
20160126,강원,1046
20160127,강원,988
20160128,강원,1003
20160129,강원,1139
20160130,강원,686
20160131,강원,82
20160201,강원,1511
20160202,강원,1113
20160203,강원,1140
20160204,강원,1180
20160205,강원,1443
20160206,강원,1023
20160207,강원,87
20160208,강원,57
20160209,강원,113
20160210,강원,579
20160211,강원,1644
20160212,강원,1221
20160213,강원,906
20160214,강원,91
20160215,강원,1647
20160216,강원,1112
20160217,강원,1042
20160218,강원,987
20160219,강원,1100
20160220,강원,717
20160221,강원,77
20160222,강원,1484
20160223,강원,1070
20160224,강원,944
20160225,강원,1029
20160226,강원,1127
20160227,강원,742
20160228,강원,87
20160229,강원,1502
20160301,강원,194
20160302,강원,1299
20160303,강원,1058
20160304,강원,1054
20160305,강원,694
20160306,강원,85
20160307,강원,1358
20160308,강원,935
20160309,강원,884
20160310,강원,913
20160311,강원,1062
20160312,강원,748
20160313,강원,69
20160314,강원,1556
20160315,강원,1011
20160316,강원,979
20160317,강원,1098
20160318,강원,1141
20160319,강원,776
20160320,강원,82
20160321,강원,1513
20160322,강원,1020
20160323,강원,976
20160324,강원,1077
20160325,강원,1159
20160326,강원,805
20160327,강원,87
20160328,강원,1580
20160329,강원,1086
20160330,강원,1009
20160331,강원,1047
20160401,강원,1185
20160402,강원,811
20160403,강원,88
20160404,강원,1495
20160405,강원,1034
20160406,강원,1048
20160407,강원,1000
20160408,강원,1019
20160409,강원,742
20160410,강원,72
20160411,강원,1478
20160412,강원,1048
20160413,강원,542
20160414,강원,1087
20160415,강원,1006
20160416,강원,791
20160417,강원,69
20160418,강원,1392
20160419,강원,972
20160420,강원,908
20160421,강원,985
20160422,강원,1013
20160423,강원,638
20160424,강원,55
20160425,강원,1468
20160426,강원,1028
20160427,강원,1086
20160428,강원,974
20160429,강원,1176
20160430,강원,794
20160501,강원,157
20160502,강원,1508
20160503,강원,1094
20160504,강원,1213
20160505,강원,148
20160506,강원,930
20160507,강원,624
20160508,강원,79
20160509,강원,1441
20160510,강원,1018
20160511,강원,993
20160512,강원,895
20160513,강원,1092
20160514,강원,232
20160515,강원,98
20160516,강원,1492
20160517,강원,950
20160518,강원,919
20160519,강원,907
20160520,강원,985
20160521,강원,658
20160522,강원,87
20160523,강원,1276
20160524,강원,956
20160525,강원,895
20160526,강원,899
20160527,강원,965
20160528,강원,629
20160529,강원,74
20160530,강원,1248
20160531,강원,869
20160601,강원,901
20160602,강원,857
20160603,강원,928
20160604,강원,599
20160605,강원,69
20160606,강원,157
20160607,강원,1261
20160608,강원,831
20160609,강원,739
20160610,강원,791
20160611,강원,530
20160612,강원,38
20160613,강원,994
20160614,강원,724
20160615,강원,714
20160616,강원,748
20160617,강원,746
20160618,강원,458
20160619,강원,56
20160620,강원,1002
20160621,강원,735
20160622,강원,708
20160623,강원,726
20160624,강원,727
20160625,강원,467
20160626,강원,55
20160627,강원,1059
20160628,강원,735
20160629,강원,670
20160630,강원,669
20160701,강원,720
20160702,강원,446
20160703,강원,53
20160704,강원,917
20160705,강원,650
20160706,강원,695
20160707,강원,698
20160708,강원,682
20160709,강원,427
20160710,강원,35
20160711,강원,869
20160712,강원,660
