전국,79923,1724,1544,1119,1056,1152,1095,914,1078,836,947,730,946,947,1203,1464,1582,1791,1688,2216,1758,2302,2219,1889,1922,1589,1689,1403,1274,1137,1020,911,975,668,812,618,815,979,1064,1338,915,1590,1288,1631,1988,2094,2768,2576,3516,2940,3182,2608,
서울,9979,111,153,98,90,112,88,94,117,83,99,63,72,93,130,162,189,238,169,320,189,291,234,214,229,191,182,135,149,128,120,94,112,71,96,74,76,125,114,204,74,298,203,348,293,398,372,413,520,418,457,347,
부산,3802,91,66,55,43,70,53,59,49,43,56,44,71,124,92,134,101,142,87,150,115,123,147,106,78,71,62,49,55,38,35,34,26,44,26,16,29,45,18,63,29,66,61,52,76,52,129,80,154,78,129,79,
대구,4461,89,98,71,66,64,71,43,66,45,68,51,62,34,71,67,97,46,90,90,71,148,110,124,101,97,81,120,78,69,56,57,73,40,49,28,40,44,58,54,48,76,57,82,110,133,199,105,263,161,151,178,
인천,5343,91,92,54,58,79,67,58,63,50,51,47,63,65,83,92,137,129,124,175,111,137,103,124,114,108,92,92,60,75,75,59,60,38,42,50,73,91,85,97,92,94,96,134,168,135,198,154,281,171,247,154,
광주,2867,51,50,36,33,30,30,19,30,24,18,15,34,20,48,34,47,38,60,64,77,77,109,72,88,59,76,50,44,23,53,35,43,17,43,23,46,49,50,45,35,55,46,38,55,80,105,100,125,114,127,116,
대전,2630,43,24,26,22,16,40,23,34,17,23,13,33,16,22,30,24,55,40,69,46,66,63,53,52,51,36,43,29,32,22,31,35,19,35,24,24,65,35,82,46,97,66,106,80,92,86,104,140,119,129,76,
울산,2430,49,33,50,32,41,46,17,47,27,43,25,29,33,24,44,18,37,38,52,41,54,50,38,93,47,143,59,64,45,59,30,36,25,51,18,36,36,49,29,55,46,44,35,40,52,45,65,80,84,84,55,
경기,22592,532,452,339,316,365,280,266,292,264,240,175,219,280,327,478,507,505,558,620,526,654,622,513,470,440,400,405,329,337,251,215,250,192,174,169,188,238,247,364,227,408,350,408,589,567,795,819,1023,932,944,796,
강원,1878,41,35,23,18,33,21,25,30,25,33,12,34,18,22,23,20,40,18,51,22,64,38,69,47,48,47,53,39,31,27,22,22,15,24,10,27,16,40,38,18,43,22,34,36,54,44,60,80,83,70,56,
충북,1829,34,27,16,14,10,19,15,13,12,11,14,11,12,13,27,27,26,28,33,37,42,52,53,35,58,38,42,30,22,14,8,17,10,15,12,16,22,23,33,22,41,33,33,52,53,98,79,123,104,111,70,
충남,3346,110,77,65,55,42,49,32,41,27,32,31,28,27,36,51,48,52,49,73,51,119,114,103,89,65,66,63,59,51,41,47,38,25,35,31,27,44,45,70,43,63,54,92,101,90,147,99,128,110,99,126,
전북,3890,78,61,43,53,26,69,35,53,40,52,49,72,40,58,64,60,114,66,92,85,123,114,122,109,72,96,53,74,49,69,58,50,44,37,44,44,31,66,62,44,74,65,65,91,86,160,119,145,136,155,127,
전남,3294,88,96,40,62,52,53,33,45,38,34,51,58,36,55,45,48,76,66,103,96,95,104,66,106,69,82,59,59,50,51,41,53,35,61,34,82,37,80,37,50,48,44,39,47,57,80,78,85,93,98,115,
경북,3871,99,110,67,65,52,69,41,58,38,66,50,59,45,63,69,80,99,82,111,79,100,102,63,95,87,105,60,69,58,57,63,51,36,47,17,33,40,54,53,42,65,59,52,118,93,114,113,117,127,139,115,
경남,5560,148,124,88,85,98,92,91,91,73,78,63,65,68,107,103,114,115,131,130,140,154,185,118,140,95,149,89,113,100,71,90,96,48,56,53,51,74,78,88,75,95,73,95,109,136,160,171,182,180,141,147,
제주,1528,43,29,31,32,48,36,55,26,24,27,22,23,26,26,30,19,56,33,56,48,41,50,41,62,24,26,24,16,23,15,25,10,6,5,11,19,17,18,15,13,16,10,17,21,13,26,12,58,25,76,42,
세종,623,26,17,17,12,14,12,8,23,6,16,5,13,10,26,11,46,23,49,27,24,14,22,10,14,7,8,7,7,6,4,2,3,3,16,4,4,5,4,4,2,5,5,1,2,3,10,5,12,5,25,9,
