날짜,시도지역코드,발생건수(건)
20140101,서울,715
20140101,부산,554
20140101,대구,370
20140101,인천,437
20140101,광주,480
20140101,대전,238
20140101,울산,144
20140101,경기,1460
20140101,강원,193
20140101,충북,335
20140101,충남,420
20140101,전북,626
20140101,전남,829
20140101,경북,582
20140101,경남,672
20140101,제주,128
20140101,전국,8183
20140102,서울,8139
20140102,부산,3135
20140102,대구,2630
20140102,인천,2993
20140102,광주,1906
20140102,대전,1254
20140102,울산,1210
20140102,경기,11082
20140102,강원,1312
20140102,충북,1609
20140102,충남,2412
20140102,전북,2481
20140102,전남,2679
20140102,경북,2960
20140102,경남,3608
20140102,제주,505
20140102,전국,49933
20140103,서울,6997
20140103,부산,2798
20140103,대구,2133
20140103,인천,2623
20140103,광주,1564
20140103,대전,1114
20140103,울산,983
20140103,경기,9493
20140103,강원,1173
20140103,충북,1402
20140103,충남,1936
20140103,전북,2097
20140103,전남,2174
20140103,경북,2410
20140103,경남,2996
20140103,제주,538
20140103,전국,42445
20140104,서울,6137
20140104,부산,2146
20140104,대구,1994
20140104,인천,2105
20140104,광주,1402
20140104,대전,989
20140104,울산,831
20140104,경기,8021
20140104,강원,733
20140104,충북,1116
20140104,충남,1441
20140104,전북,1625
20140104,전남,1757
20140104,경북,1853
20140104,경남,2483
20140104,제주,330
20140104,전국,34976
20140105,서울,534
20140105,부산,178
20140105,대구,214
20140105,인천,274
20140105,광주,285
20140105,대전,109
20140105,울산,131
20140105,경기,1113
20140105,강원,67
20140105,충북,136
20140105,충남,196
20140105,전북,217
20140105,전남,352
20140105,경북,210
20140105,경남,165
20140105,제주,35
20140105,전국,4222
20140106,서울,8992
20140106,부산,3320
20140106,대구,2647
20140106,인천,3244
20140106,광주,1982
20140106,대전,1365
20140106,울산,1226
20140106,경기,11405
20140106,강원,1474
20140106,충북,1631
20140106,충남,2488
20140106,전북,2743
20140106,전남,2764
20140106,경북,2967
20140106,경남,3791
20140106,제주,596
20140106,전국,52657
20140107,서울,6322
20140107,부산,2437
20140107,대구,1870
20140107,인천,2265
20140107,광주,1515
20140107,대전,975
20140107,울산,888
20140107,경기,8223
20140107,강원,1016
20140107,충북,1294
20140107,충남,1760
20140107,전북,1803
20140107,전남,2040
20140107,경북,2178
20140107,경남,2632
20140107,제주,452
20140107,전국,37687
20140108,서울,6219
20140108,부산,2075
20140108,대구,1697
20140108,인천,1987
20140108,광주,1401
20140108,대전,909
20140108,울산,771
20140108,경기,7734
20140108,강원,917
20140108,충북,1107
20140108,충남,1639
20140108,전북,1788
20140108,전남,1779
20140108,경북,1948
20140108,경남,2331
20140108,제주,396
20140108,전국,34711
20140109,서울,5720
20140109,부산,2324
20140109,대구,1775
20140109,인천,1982
20140109,광주,1381
20140109,대전,874
20140109,울산,806
20140109,경기,7190
20140109,강원,919
20140109,충북,1088
20140109,충남,1541
20140109,전북,1747
20140109,전남,1893
20140109,경북,1966
20140109,경남,2574
20140109,제주,390
20140109,전국,34184
20140110,서울,6600
20140110,부산,2473
20140110,대구,1843
20140110,인천,2199
20140110,광주,1455
20140110,대전,955
20140110,울산,890
20140110,경기,8107
20140110,강원,1018
20140110,충북,1226
20140110,충남,1625
20140110,전북,1871
20140110,전남,1932
20140110,경북,1976
20140110,경남,2742
20140110,제주,473
20140110,전국,37398
20140111,서울,5941
20140111,부산,2080
20140111,대구,1888
20140111,인천,1976
20140111,광주,1369
20140111,대전,916
20140111,울산,862
20140111,경기,7728
20140111,강원,719
20140111,충북,1028
20140111,충남,1462
20140111,전북,1487
20140111,전남,1638
20140111,경북,1834
20140111,경남,2454
20140111,제주,338
20140111,전국,33736
20140112,서울,500
20140112,부산,147
20140112,대구,241
20140112,인천,202
20140112,광주,272
20140112,대전,116
20140112,울산,112
20140112,경기,1233
20140112,강원,73
20140112,충북,141
20140112,충남,192
20140112,전북,234
20140112,전남,312
20140112,경북,235
20140112,경남,150
20140112,제주,62
20140112,전국,4222
20140113,서울,8814
20140113,부산,3289
20140113,대구,2547
20140113,인천,2990
20140113,광주,1902
20140113,대전,1301
20140113,울산,1195
20140113,경기,11228
20140113,강원,1427
20140113,충북,1738
20140113,충남,2387
20140113,전북,2626
20140113,전남,2633
20140113,경북,2977
20140113,경남,3690
20140113,제주,642
20140113,전국,51410
20140114,서울,6235
20140114,부산,2289
20140114,대구,1937
20140114,인천,2172
20140114,광주,1467
20140114,대전,942
20140114,울산,863
20140114,경기,8140
20140114,강원,952
20140114,충북,1207
20140114,충남,1670
20140114,전북,1726
20140114,전남,2042
20140114,경북,2132
20140114,경남,2672
20140114,제주,482
20140114,전국,36935
20140115,서울,6350
20140115,부산,2167
20140115,대구,1784
20140115,인천,2115
20140115,광주,1489
20140115,대전,875
20140115,울산,919
20140115,경기,8087
20140115,강원,1015
20140115,충북,1191
20140115,충남,1610
20140115,전북,1843
20140115,전남,1944
20140115,경북,1992
20140115,경남,2496
20140115,제주,435
20140115,전국,36323
20140116,서울,6250
20140116,부산,2287
20140116,대구,1913
20140116,인천,2221
20140116,광주,1545
20140116,대전,927
20140116,울산,930
20140116,경기,8064
20140116,강원,990
20140116,충북,1254
20140116,충남,1816
20140116,전북,1773
20140116,전남,2008
20140116,경북,2116
20140116,경남,2633
20140116,제주,491
20140116,전국,37238
20140117,서울,6996
20140117,부산,2518
20140117,대구,2017
20140117,인천,2381
20140117,광주,1579
20140117,대전,1053
20140117,울산,974
20140117,경기,9068
20140117,강원,1088
20140117,충북,1391
20140117,충남,1817
20140117,전북,1897
20140117,전남,2047
20140117,경북,2287
20140117,경남,2805
20140117,제주,502
20140117,전국,40432
20140118,서울,6299
20140118,부산,2054
20140118,대구,1877
20140118,인천,2137
20140118,광주,1517
20140118,대전,979
20140118,울산,891
20140118,경기,8498
20140118,강원,834
20140118,충북,1184
20140118,충남,1566
20140118,전북,1593
20140118,전남,1776
20140118,경북,1946
20140118,경남,2350
20140118,제주,423
20140118,전국,35937
20140119,서울,600
20140119,부산,170
20140119,대구,263
20140119,인천,379
20140119,광주,262
20140119,대전,128
20140119,울산,139
20140119,경기,1386
20140119,강원,75
20140119,충북,172
20140119,충남,210
20140119,전북,195
20140119,전남,345
20140119,경북,243
20140119,경남,173
20140119,제주,51
20140119,전국,4792
20140120,서울,9105
20140120,부산,3432
20140120,대구,2823
20140120,인천,3256
20140120,광주,2191
20140120,대전,1409
20140120,울산,1298
20140120,경기,11656
20140120,강원,1457
20140120,충북,1739
20140120,충남,2388
20140120,전북,2674
20140120,전남,2926
20140120,경북,3100
20140120,경남,3841
20140120,제주,737
20140120,전국,54047
20140121,서울,6806
20140121,부산,2494
20140121,대구,1933
20140121,인천,2459
20140121,광주,1463
20140121,대전,980
20140121,울산,994
20140121,경기,9029
20140121,강원,914
20140121,충북,1329
20140121,충남,1685
20140121,전북,1722
20140121,전남,2005
20140121,경북,2196
20140121,경남,2740
20140121,제주,519
20140121,전국,39284
20140122,서울,7310
20140122,부산,2442
20140122,대구,1913
20140122,인천,2461
20140122,광주,1573
20140122,대전,1034
20140122,울산,1009
20140122,경기,9215
20140122,강원,1061
20140122,충북,1486
20140122,충남,1798
20140122,전북,1831
20140122,전남,2107
20140122,경북,2263
20140122,경남,2747
20140122,제주,534
20140122,전국,40792
20140123,서울,7219
20140123,부산,2576
20140123,대구,2054
20140123,인천,2622
20140123,광주,1632
20140123,대전,1109
20140123,울산,1010
20140123,경기,9546
20140123,강원,1128
20140123,충북,1463
20140123,충남,1924
20140123,전북,2066
20140123,전남,2175
20140123,경북,2489
20140123,경남,2820
20140123,제주,536
20140123,전국,42385
20140124,서울,8003
20140124,부산,2925
20140124,대구,2239
20140124,인천,2878
20140124,광주,1692
20140124,대전,1197
20140124,울산,1144
20140124,경기,10543
20140124,강원,1304
20140124,충북,1569
20140124,충남,2031
20140124,전북,2104
20140124,전남,2328
20140124,경북,2558
20140124,경남,3093
20140124,제주,635
20140124,전국,46257
20140125,서울,7268
20140125,부산,2227
20140125,대구,2065
20140125,인천,2563
20140125,광주,1622
20140125,대전,1077
20140125,울산,968
20140125,경기,9324
20140125,강원,957
20140125,충북,1348
20140125,충남,1627
20140125,전북,1678
