날짜,시도지역코드,발생건수(건)
20140101,서울,5992
20140101,부산,3158
20140101,대구,2190
20140101,인천,3426
20140101,광주,2635
20140101,대전,2861
20140101,울산,1381
20140101,경기,13646
20140101,강원,1101
20140101,충북,2322
20140101,충남,2993
20140101,전북,4076
20140101,전남,4657
20140101,경북,2574
20140101,경남,4107
20140101,제주,1506
20140101,전국,58653
20140102,서울,101309
20140102,부산,42779
20140102,대구,26764
20140102,인천,30532
20140102,광주,16256
20140102,대전,16587
20140102,울산,14698
20140102,경기,132576
20140102,강원,13424
20140102,충북,15083
20140102,충남,24382
20140102,전북,26312
20140102,전남,22508
20140102,경북,28448
20140102,경남,38446
20140102,제주,6458
20140102,전국,556796
20140103,서울,84210
20140103,부산,34625
20140103,대구,21412
20140103,인천,24679
20140103,광주,13442
20140103,대전,13881
20140103,울산,11461
20140103,경기,108773
20140103,강원,12025
20140103,충북,12854
20140103,충남,20018
20140103,전북,21055
20140103,전남,18588
20140103,경북,23295
20140103,경남,30544
20140103,제주,5477
20140103,전국,456507
20140104,서울,74899
20140104,부산,30187
20140104,대구,19766
20140104,인천,22015
20140104,광주,11922
20140104,대전,12874
20140104,울산,10087
20140104,경기,96287
20140104,강원,8694
20140104,충북,10720
20140104,충남,16246
20140104,전북,17109
20140104,전남,14790
20140104,경북,18148
20140104,경남,25101
20140104,제주,4593
20140104,전국,393597
20140105,서울,7695
20140105,부산,4285
20140105,대구,2382
20140105,인천,4172
20140105,광주,2439
20140105,대전,2827
20140105,울산,1990
20140105,경기,17600
20140105,강원,1278
20140105,충북,2536
20140105,충남,2997
20140105,전북,3258
20140105,전남,3716
20140105,경북,2547
20140105,경남,3975
20140105,제주,1600
20140105,전국,65322
20140106,서울,108504
20140106,부산,43042
20140106,대구,27321
20140106,인천,30936
20140106,광주,16736
20140106,대전,17361
20140106,울산,14367
20140106,경기,135506
20140106,강원,13810
20140106,충북,15588
20140106,충남,25264
20140106,전북,26709
20140106,전남,23092
20140106,경북,29052
20140106,경남,38457
20140106,제주,6928
20140106,전국,572911
20140107,서울,75304
20140107,부산,30753
20140107,대구,19125
20140107,인천,22394
20140107,광주,12112
20140107,대전,12489
20140107,울산,10363
20140107,경기,96185
20140107,강원,10396
20140107,충북,11819
20140107,충남,18334
20140107,전북,18444
20140107,전남,17282
20140107,경북,20665
20140107,경남,26987
20140107,제주,5297
20140107,전국,408131
20140108,서울,72880
20140108,부산,27554
20140108,대구,18393
20140108,인천,21241
20140108,광주,11151
20140108,대전,12146
20140108,울산,9329
20140108,경기,90880
20140108,강원,9416
20140108,충북,10948
20140108,충남,17091
20140108,전북,17086
20140108,전남,16058
20140108,경북,19092
20140108,경남,24150
20140108,제주,4890
20140108,전국,382455
20140109,서울,68903
20140109,부산,29320
20140109,대구,17938
20140109,인천,19883
20140109,광주,11369
20140109,대전,11872
20140109,울산,9597
20140109,경기,87804
20140109,강원,9387
20140109,충북,10180
20140109,충남,16724
20140109,전북,17113
20140109,전남,15828
20140109,경북,19189
20140109,경남,26213
20140109,제주,4816
20140109,전국,376286
20140110,서울,79318
20140110,부산,30807
20140110,대구,19458
20140110,인천,22240
20140110,광주,12172
20140110,대전,12647
20140110,울산,10105
20140110,경기,96576
20140110,강원,10275
20140110,충북,11517
20140110,충남,17600
20140110,전북,18711
20140110,전남,16934
20140110,경북,20356
20140110,경남,26989
20140110,제주,5415
20140110,전국,411291
20140111,서울,72582
20140111,부산,28135
20140111,대구,18930
20140111,인천,21438
20140111,광주,11690
20140111,대전,12621
20140111,울산,9392
20140111,경기,93155
20140111,강원,8569
20140111,충북,10575
20140111,충남,15706
20140111,전북,15649
20140111,전남,14210
20140111,경북,17645
20140111,경남,24117
20140111,제주,4642
20140111,전국,379247
20140112,서울,7363
20140112,부산,3670
20140112,대구,2331
20140112,인천,3506
20140112,광주,2367
20140112,대전,3207
20140112,울산,2140
20140112,경기,16959
20140112,강원,1196
20140112,충북,2690
20140112,충남,3239
20140112,전북,3191
20140112,전남,3937
20140112,경북,2729
20140112,경남,4057
20140112,제주,1824
20140112,전국,64436
20140113,서울,107923
20140113,부산,42109
20140113,대구,26540
20140113,인천,30688
20140113,광주,16731
20140113,대전,16704
20140113,울산,14001
20140113,경기,134457
20140113,강원,14083
20140113,충북,15952
20140113,충남,25159
20140113,전북,25467
20140113,전남,23296
20140113,경북,28737
20140113,경남,37502
20140113,제주,7654
20140113,전국,567244
20140114,서울,75817
20140114,부산,30160
20140114,대구,18796
20140114,인천,22215
20140114,광주,12450
20140114,대전,12739
20140114,울산,10177
20140114,경기,96641
20140114,강원,10280
20140114,충북,11840
20140114,충남,18294
20140114,전북,17739
20140114,전남,17251
20140114,경북,20740
20140114,경남,26487
20140114,제주,5684
20140114,전국,407483
20140115,서울,78731
20140115,부산,29873
20140115,대구,18581
20140115,인천,22690
20140115,광주,12329
20140115,대전,12566
20140115,울산,10543
20140115,경기,97222
20140115,강원,9888
20140115,충북,11664
20140115,충남,17632
20140115,전북,17430
20140115,전남,16956
20140115,경북,20150
20140115,경남,26511
20140115,제주,5844
20140115,전국,408788
20140116,서울,80837
20140116,부산,30848
20140116,대구,19353
20140116,인천,23669
20140116,광주,12739
20140116,대전,13308
20140116,울산,10659
20140116,경기,101603
20140116,강원,10660
20140116,충북,12341
20140116,충남,18810
20140116,전북,18227
20140116,전남,17667
20140116,경북,20942
20140116,경남,27327
20140116,제주,6133
20140116,전국,425300
20140117,서울,86235
20140117,부산,32595
20140117,대구,20169
20140117,인천,24533
20140117,광주,13172
20140117,대전,13510
20140117,울산,11160
20140117,경기,105986
20140117,강원,11336
20140117,충북,12810
20140117,충남,19227
20140117,전북,19759
20140117,전남,18155
20140117,경북,22365
20140117,경남,28466
20140117,제주,6650
20140117,전국,446309
20140118,서울,79467
