날짜,지역,발생수
2017-01-01,강원,244
2017-01-02,강원,1442
2017-01-03,강원,787
2017-01-04,강원,90
2017-01-05,강원,1523
2017-01-06,강원,1076
2017-01-07,강원,949
2017-01-08,강원,924
2017-01-09,강원,1093
2017-01-10,강원,750
2017-01-11,강원,99
2017-01-12,강원,1407
2017-01-13,강원,959
2017-01-14,강원,922
2017-01-15,강원,1023
2017-01-16,강원,1046
2017-01-17,강원,794
2017-01-18,강원,110
2017-01-19,강원,1400
2017-01-20,강원,1066
2017-01-21,강원,1068
2017-01-22,강원,854
2017-01-23,강원,1084
2017-01-24,강원,674
2017-01-25,강원,103
2017-01-26,강원,1410
2017-01-27,강원,1002
2017-01-28,강원,930
2017-01-29,강원,930
2017-01-30,강원,1043
2017-01-31,강원,688
2017-02-01,강원,199
2017-02-02,강원,1497
2017-02-03,강원,1018
2017-02-04,강원,1034
2017-02-05,강원,969
2017-02-06,강원,1097
2017-02-07,강원,813
2017-02-08,강원,150
2017-02-09,강원,1420
2017-02-10,강원,1123
2017-02-11,강원,1081
2017-02-12,강원,1103
2017-02-13,강원,1298
2017-02-14,강원,877
2017-02-15,강원,143
2017-02-16,강원,1790
2017-02-17,강원,1627
2017-02-18,강원,286
2017-02-19,강원,100
2017-02-20,강원,203
2017-02-21,강원,731
2017-02-22,강원,177
2017-02-23,강원,1772
2017-02-24,강원,1182
2017-02-25,강원,1114
2017-02-26,강원,1127
2017-02-27,강원,1178
2017-02-28,강원,855
2017-03-01,강원,192
2017-03-02,강원,1432
2017-03-03,강원,1020
2017-03-04,강원,1044
2017-03-05,강원,943
2017-03-06,강원,1113
2017-03-07,강원,774
2017-03-08,강원,85
2017-03-09,강원,1526
2017-03-10,강원,1020
2017-03-11,강원,1069
2017-03-12,강원,1099
2017-03-13,강원,1188
2017-03-14,강원,881
2017-03-15,강원,106
2017-03-16,강원,1631
2017-03-17,강원,1143
2017-03-18,강원,1189
2017-03-19,강원,1190
2017-03-20,강원,1270
2017-03-21,강원,945
2017-03-22,강원,95
2017-03-23,강원,1805
2017-03-24,강원,1196
2017-03-25,강원,1246
2017-03-26,강원,1310
2017-03-27,강원,1312
2017-03-28,강원,934
2017-03-29,강원,96
2017-03-30,강원,1643
2017-03-31,강원,1217
2017-04-01,강원,1274
2017-04-02,강원,1139
2017-04-03,강원,1253
2017-04-04,강원,873
2017-04-05,강원,90
2017-04-06,강원,1601
2017-04-07,강원,1094
2017-04-08,강원,1107
2017-04-09,강원,1104
2017-04-10,강원,1174
2017-04-11,강원,815
2017-04-12,강원,75
2017-04-13,강원,1578
2017-04-14,강원,1079
2017-04-15,강원,1102
2017-04-16,강원,1064
2017-04-17,강원,1080
2017-04-18,강원,865
2017-04-19,강원,82
2017-04-20,강원,1532
2017-04-21,강원,1060
2017-04-22,강원,1053
2017-04-23,강원,1043
2017-04-24,강원,1205
2017-04-25,강원,849
2017-04-26,강원,92
2017-04-27,강원,1595
2017-04-28,강원,1219
2017-04-29,강원,1148
2017-04-30,강원,1119
2017-05-01,강원,985
2017-05-02,강원,816
2017-05-03,강원,102
2017-05-04,강원,1594
2017-05-05,강원,138
2017-05-06,강원,1376
2017-05-07,강원,1099
2017-05-08,강원,1064
2017-05-09,강원,780
2017-05-10,강원,82
2017-05-11,강원,1525
2017-05-12,강원,1008
2017-05-13,강원,965
2017-05-14,강원,1017
2017-05-15,강원,1054
2017-05-16,강원,744
2017-05-17,강원,88
2017-05-18,강원,1396
2017-05-19,강원,990
2017-05-20,강원,966
2017-05-21,강원,936
2017-05-22,강원,1019
2017-05-23,강원,781
2017-05-24,강원,79
2017-05-25,강원,194
2017-05-26,강원,1463
2017-05-27,강원,978
2017-05-28,강원,861
2017-05-29,강원,1005
2017-05-30,강원,694
2017-05-31,강원,68
2017-06-01,강원,1327
2017-06-02,강원,915
2017-06-03,강원,867
2017-06-04,강원,888
2017-06-05,강원,1052
2017-06-06,강원,216
2017-06-07,강원,81
2017-06-08,강원,1267
2017-06-09,강원,764
2017-06-10,강원,724
2017-06-11,강원,786
2017-06-12,강원,796
2017-06-13,강원,535
2017-06-14,강원,64
2017-06-15,강원,976
2017-06-16,강원,712
2017-06-17,강원,647
2017-06-18,강원,708
2017-06-19,강원,710
2017-06-20,강원,442
2017-06-21,강원,56
2017-06-22,강원,846
2017-06-23,강원,655
2017-06-24,강원,567
2017-06-25,강원,608
2017-06-26,강원,636
2017-06-27,강원,459
2017-06-28,강원,23
2017-06-29,강원,841
2017-06-30,강원,585
2017-07-01,강원,590
2017-07-02,강원,592
2017-07-03,강원,632
2017-07-04,강원,470
2017-07-05,강원,41
2017-07-06,강원,862
2017-07-07,강원,631
2017-07-08,강원,588
2017-07-09,강원,584
2017-07-10,강원,652
2017-07-11,강원,422
2017-07-12,강원,29
2017-07-13,강원,711
2017-07-14,강원,562
2017-07-15,강원,570
2017-07-16,강원,640
2017-07-17,강원,655
2017-07-18,강원,419
2017-07-19,강원,45
2017-07-20,강원,810
2017-07-21,강원,648
2017-07-22,강원,602
2017-07-23,강원,595
2017-07-24,강원,604
2017-07-25,강원,379
2017-07-26,강원,32
2017-07-27,강원,794
2017-07-28,강원,558
2017-07-29,강원,565
2017-07-30,강원,574
2017-07-31,강원,597
2017-08-01,강원,427
2017-08-02,강원,37
2017-08-03,강원,781
2017-08-04,강원,544
2017-08-05,강원,543
2017-08-06,강원,504
2017-08-07,강원,564
2017-08-08,강원,308
2017-08-09,강원,44
2017-08-10,강원,922
2017-08-11,강원,620
2017-08-12,강원,632
2017-08-13,강원,599
2017-08-14,강원,492
2017-08-15,강원,127
2017-08-16,강원,69
2017-08-17,강원,1061
2017-08-18,강원,668
2017-08-19,강원,636
2017-08-20,강원,595
2017-08-21,강원,735
2017-08-22,강원,439
2017-08-23,강원,53
2017-08-24,강원,907
2017-08-25,강원,674
2017-08-26,강원,733
2017-08-27,강원,728
2017-08-28,강원,737
2017-08-29,강원,501
2017-08-30,강원,53
2017-08-31,강원,993
2017-09-01,강원,827
2017-09-02,강원,715
2017-09-03,강원,777
2017-09-04,강원,812
2017-09-05,강원,588
2017-09-06,강원,85
2017-09-07,강원,1118
2017-09-08,강원,861
2017-09-09,강원,758
2017-09-10,강원,821
2017-09-11,강원,872
2017-09-12,강원,626
2017-09-13,강원,77
2017-09-14,강원,1193
2017-09-15,강원,909
2017-09-16,강원,883
2017-09-17,강원,934
2017-09-18,강원,967
2017-09-19,강원,719
2017-09-20,강원,100
2017-09-21,강원,1250
2017-09-22,강원,942
2017-09-23,강원,918
2017-09-24,강원,982
