지역,날짜,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
강원,2017-01-01,3.6,-2.3,7.6,30,,,
강원,2017-01-02,8.4,5,11.5,38,,,
강원,2017-01-03,6.7,2.4,9.8,53,,,
강원,2017-01-04,5.4,0.8,9,13,,,
강원,2017-01-05,0.6,-2.6,4.4,9,,,
강원,2017-01-06,0.5,-4.7,6.3,21,,,
강원,2017-01-07,-0.4,-4,3.7,17,,,
강원,2017-01-08,-1.1,-3.4,2.3,16,,,
강원,2017-01-09,0.1,-3.9,3.6,21,,,
강원,2017-01-10,1.8,-1.3,5.8,12,,,
강원,2017-01-11,-2,-5.4,1.3,14,,,
강원,2017-01-12,-1.8,-7.1,2.3,15,,,
강원,2017-01-13,-2.3,-5.9,1.3,20.4,,,
강원,2017-01-14,-2.9,-7.6,0.9,15,,,
강원,2017-01-15,-1.7,-4,2.2,24,,,
강원,2017-01-16,-0.1,-5,5.1,33,,,
강원,2017-01-17,1.5,-1.6,4.3,82,,,
강원,2017-01-18,-2.9,-11.4,3.5,14,,,
강원,2017-01-19,-10,-13.1,-7,18,,,
강원,2017-01-20,-6.3,-11,-0.5,27,,,
강원,2017-01-21,-4,-8.6,0.3,23,,,
강원,2017-01-22,-3.4,-6.6,0.1,14,,,
강원,2017-01-23,-8.3,-13.4,-4.4,9,,,
강원,2017-01-24,-10.5,-16.4,-4.1,13,,,
강원,2017-01-25,-6.9,-12.4,-2.1,26,,,
강원,2017-01-26,-1,-7.8,3.2,30,,,
강원,2017-01-27,1.7,-1.3,5.3,16,,,
강원,2017-01-28,-0.1,-3.7,5.6,21,,,
강원,2017-01-29,-0.3,-2.1,1.3,47,,,
강원,2017-01-30,-0.9,-1.8,-0.2,99,,,
강원,2017-01-31,-1.9,-4.3,1.3,39,,,
강원,2017-02-01,-3.5,-7.2,0.3,26,,,
강원,2017-02-02,-4.1,-9.4,0.2,29,,,
강원,2017-02-03,-1.6,-7.9,2.9,23,,,
강원,2017-02-04,2.2,-1.4,7.1,16,,,
강원,2017-02-05,0.3,-2.5,3.7,14,,,
강원,2017-02-06,-3.6,-6.7,-0.8,28,,,
강원,2017-02-07,-1.9,-7.7,3.2,23,,,
강원,2017-02-08,1.3,-3.7,4.9,25,,,
강원,2017-02-09,1.8,-2.2,5.3,23,,,
강원,2017-02-10,1.2,-3.8,5.4,31,,,
강원,2017-02-11,2.1,-3,5.2,66,,,
강원,2017-02-12,2.7,1.6,3.7,99,,,
강원,2017-02-13,3.6,1.2,5.8,99,,,
강원,2017-02-14,-0.3,-3.2,2.1,55,,,
강원,2017-02-15,-3,-5.9,0.4,25.6,,,
강원,2017-02-16,-0.3,-4,3.6,33.7,,,
강원,2017-02-17,2.6,-3.2,6.9,25,,,
강원,2017-02-18,6.2,0.7,10.3,24,,,
강원,2017-02-19,5.8,2.7,8.5,20,,,
강원,2017-02-20,1.8,-1.5,4.6,28,,,
강원,2017-02-21,1.5,-2.4,6,15,,,
강원,2017-02-22,3,-0.9,6.3,19,,,
강원,2017-02-23,3.3,-1,8.2,16,,,
강원,2017-02-24,-1.5,-3.3,1.1,35,,,
강원,2017-02-25,1.2,-3.6,4,28,,,
강원,2017-02-26,1.7,-1.8,5.3,19,,,
강원,2017-02-27,1.9,-2.1,4.9,47,,,
강원,2017-02-28,1.2,-1.9,4.7,64,,,
강원,2017-03-01,-0.3,-7.6,5,21,,,
강원,2017-03-02,5.8,0.1,9.6,39,,,
강원,2017-03-03,7.2,3.9,11.5,52,,,
강원,2017-03-04,4.6,3.8,6,80,,,
강원,2017-03-05,4.4,3.4,6.5,81.1,,,
강원,2017-03-06,5.8,2.5,10.7,40,,,
강원,2017-03-07,5.2,1.6,9.2,59,,,
강원,2017-03-08,5.4,1.3,8.3,18,,,
강원,2017-03-09,-0.5,-2.5,3.1,31,,,
강원,2017-03-10,-0.9,-4.3,1.8,32,,,
강원,2017-03-11,-0.8,-4.4,2.4,24,,,
강원,2017-03-12,3.3,-3.3,8.6,29,,,
강원,2017-03-13,6.3,2.8,9.9,35,,,
강원,2017-03-14,3.1,-0.8,6.3,48,,,
강원,2017-03-15,6.7,-1.4,11.5,21,,,
강원,2017-03-16,13.1,8.6,18.8,13,,,
강원,2017-03-17,12.7,5.9,17.4,14,,,
강원,2017-03-18,13.3,8.8,19.4,30,,,
강원,2017-03-19,9.1,5.2,14.3,49,,,
강원,2017-03-20,6.4,1.9,8.6,52,,,
강원,2017-03-21,7.8,0.4,12.5,35,,,
강원,2017-03-22,10.1,4.3,16.1,18,,,
강원,2017-03-23,4.6,1.8,6.3,70,,,
강원,2017-03-24,5.1,0.8,9.4,40,,,
강원,2017-03-25,4.7,0.7,10.2,53,,,
강원,2017-03-26,6.8,0.9,12,53,,,
강원,2017-03-27,9.4,2.8,14,34,,,
강원,2017-03-28,14,7.5,20.4,14,,,
강원,2017-03-29,16,11.4,21.5,14.7,,,
강원,2017-03-30,13.3,9,21,21,,,
강원,2017-03-31,14.4,9,19.9,21,,,
강원,2017-04-01,8.9,6.9,15.1,27,,,
강원,2017-04-02,9.6,6.7,13.3,69,,,
강원,2017-04-03,8.7,6.3,9.9,76,,,
강원,2017-04-04,9,4.2,14.3,68,,,
강원,2017-04-05,15.8,7,23.4,12,,,
강원,2017-04-06,12.6,9.1,16,34,,,
강원,2017-04-07,12,9.3,16.3,43,,,
강원,2017-04-08,17.6,10.5,23,10,,,
강원,2017-04-09,18.3,10.3,24.1,11,,,
강원,2017-04-10,8.2,5.8,10.4,41.9,,,
강원,2017-04-11,7.6,3.6,11.8,45,,,
강원,2017-04-12,8.7,3.9,12,66,,,
강원,2017-04-13,14.4,8.7,19.9,50,,,
강원,2017-04-14,13.6,7.6,21,27,,,
강원,2017-04-15,11.1,4.7,15.6,51,,,
강원,2017-04-16,14,8.4,22.4,32,,,
강원,2017-04-17,14,10.9,18,32,,,
강원,2017-04-18,11.9,6.6,19.9,19.5,,,
강원,2017-04-19,10.9,6.5,15.6,48,,,
강원,2017-04-20,14.7,8.2,21,29.8,,,
강원,2017-04-21,11.4,9.3,15.2,52.4,,,
강원,2017-04-22,20.3,9,29.3,22,,,
강원,2017-04-23,16.3,11.7,19.8,13,,,
강원,2017-04-24,12.7,6.8,17.7,28,,,
강원,2017-04-25,15.9,6.1,23.8,28,,,
강원,2017-04-26,12.2,9,19.3,38,,,
강원,2017-04-27,9.2,8.5,10.3,76,,,
강원,2017-04-28,9.3,6.4,13.8,68,,,
강원,2017-04-29,12.7,5.2,19.1,38,,,
강원,2017-04-30,17.2,11,23,32,,,
강원,2017-05-01,13.9,10.3,20.9,37,,,
강원,2017-05-02,13,9.1,18.9,60,,,
강원,2017-05-03,14.4,11.6,20.6,45,,,
강원,2017-05-04,16.9,12.2,21.3,28,,,
강원,2017-05-05,18.2,13.3,25.1,13,,,
강원,2017-05-06,13.6,11.2,20.4,46.9,,,
강원,2017-05-07,18,13,24.7,27.1,,,
강원,2017-05-08,15.6,10.9,20.8,37,,,
강원,2017-05-09,15.5,12,21.6,48,,,
강원,2017-05-10,11.5,10.2,14.1,82,,,
강원,2017-05-11,13.1,9.1,17.5,46,,,
강원,2017-05-12,19.3,10.4,25.7,21,,,
강원,2017-05-13,15.5,8.7,21.7,27,,,
강원,2017-05-14,13.1,7.3,17,62,,,
강원,2017-05-15,12.9,11.2,15.3,78,,,
강원,2017-05-16,18.7,11.2,23.9,18,,,
강원,2017-05-17,21.3,13.8,28.1,17,,,
강원,2017-05-18,21.2,15.7,28.2,22,,,
강원,2017-05-19,19.3,13.4,27.9,24,,,
강원,2017-05-20,13.4,10.8,17.7,76,,,
강원,2017-05-21,15.9,9.9,20.6,51,,,
강원,2017-05-22,16.6,11,21.4,52,,,
강원,2017-05-23,17,13.3,20.4,72.2,,,
강원,2017-05-24,18.3,13.9,23.7,47,,,
강원,2017-05-25,22.3,16,26.5,39,,,
강원,2017-05-26,21.8,18.9,24.3,39,,,
강원,2017-05-27,19.3,16.5,23.2,38,,,
강원,2017-05-28,22.5,16.5,29,28,,,
강원,2017-05-29,21.5,15.5,27.1,31,,,
강원,2017-05-30,17.3,14.3,26,26,,,
강원,2017-05-31,21.8,16.9,26.1,25,,,
강원,2017-06-01,17.8,14.4,21.6,50,,,
강원,2017-06-02,18.7,12.6,23.3,36,,,
강원,2017-06-03,23.9,15.6,29.3,27,,,
강원,2017-06-04,21.2,17.1,26.1,23,,,
강원,2017-06-05,16.9,15.3,19.4,72,,,
강원,2017-06-06,18,15.7,21.9,68,,,
강원,2017-06-07,18.9,16.9,22.1,76,,,
강원,2017-06-08,19.3,17.5,22.6,78,,,
강원,2017-06-09,19.1,16.5,21.6,81,,,
강원,2017-06-10,19.5,15.1,23.6,75,,,
강원,2017-06-11,22.9,17.6,27.4,59,,,
강원,2017-06-12,21.9,17.6,29.5,55.6,,,
강원,2017-06-13,18.6,17.5,21.4,77,,,
강원,2017-06-14,18.2,16.8,20,81,,,
강원,2017-06-15,19,17.7,22,86,,,
강원,2017-06-16,21.7,17.7,28,46,,,
강원,2017-06-17,26.5,21.8,30.5,36,,,
강원,2017-06-18,24.4,19.9,29.1,35,,,
강원,2017-06-19,19.4,17.8,21.6,77,,,
강원,2017-06-20,20.6,18.1,23.6,77,,,
강원,2017-06-21,20.6,18.9,22.4,80,,,
강원,2017-06-22,19.4,18.9,20.4,91,,,
강원,2017-06-23,20.9,18.8,24.4,75,,,
강원,2017-06-24,19.3,16.4,21.5,87.2,,,
강원,2017-06-25,22.8,16.7,28.2,42,,,
강원,2017-06-26,23.9,18.9,29.4,39,,,
강원,2017-06-27,21.6,18.4,25.5,59,,,
강원,2017-06-28,19.9,18.7,23.4,76,,,
강원,2017-06-29,21.1,19,24.5,77,,,
강원,2017-06-30,22.2,19.8,25.5,76,,,
강원,2017-07-01,22.6,19.7,27.2,70,,,
강원,2017-07-02,22.7,19.7,25.7,69.6,,,
강원,2017-07-03,23.9,19.9,27.9,64,,,
강원,2017-07-04,20.2,19.1,22.2,89.6,,,
강원,2017-07-05,19.1,17.2,20.6,90.7,,,
강원,2017-07-06,18.1,17,19.9,89.1,,,
강원,2017-07-07,19.5,17.8,22.6,79.7,,,
강원,2017-07-08,21.2,17.4,26.1,75,,,
강원,2017-07-09,23.1,18.2,28.1,70,,,
강원,2017-07-10,24.3,20.8,27.2,71,,,
강원,2017-07-11,23.1,21,25.7,85,,,
강원,2017-07-12,23.1,21.7,25.9,82,,,
강원,2017-07-13,22.6,21.1,25.6,84.3,,,
강원,2017-07-14,24.2,21.8,27.8,55,,,
강원,2017-07-15,23.8,21.3,27.3,62.1,,,
강원,2017-07-16,19.9,19,22.1,85,,,
강원,2017-07-17,20.3,19.5,23.2,86,,,
강원,2017-07-18,21.6,19.2,24.5,80,,,
강원,2017-07-19,22.2,20.7,25,80,,,
강원,2017-07-20,22,20.5,24.6,83,,,
강원,2017-07-21,21.8,19.6,23.8,85,,,
강원,2017-07-22,23,20.6,25.8,76,,,
강원,2017-07-23,22.4,20.9,24.2,82,,,
강원,2017-07-24,22.1,20.6,23.9,84.9,,,
강원,2017-07-25,22.8,21,25.1,86,,,
강원,2017-07-26,24.2,22.1,26.5,82.4,,,
강원,2017-07-27,27.1,25.1,28.7,60.3,,,
강원,2017-07-28,27.2,23.9,30.3,61,,,
강원,2017-07-29,27.9,25.1,31.9,62,,,
강원,2017-07-30,28.1,25.5,31.2,68.7,,,
강원,2017-07-31,26.4,23.5,29.4,81,,,
강원,2017-08-01,26,23.3,28.8,81,,,
강원,2017-08-02,26.1,23.3,28.3,81,,,
강원,2017-08-03,26.3,23.6,29.6,77,,,
강원,2017-08-04,26.1,22.3,29.8,74,,,
강원,2017-08-05,25.7,20.9,29.8,66,,,
강원,2017-08-06,25.7,20.3,29.9,53,,,
강원,2017-08-07,28.4,23.5,33.5,62,,,
강원,2017-08-08,25.4,23.1,29.8,74,,,
강원,2017-08-09,25.2,22.8,28.3,63,,,
강원,2017-08-10,26.7,21.9,31.6,68,,,
