날짜,지역,발생수
2016-01-01,강원,253
2016-01-02,강원,793
2016-01-03,강원,94
2016-01-04,강원,1630
2016-01-05,강원,1094
2016-01-06,강원,1022
2016-01-07,강원,973
2016-01-08,강원,1093
2016-01-09,강원,751
2016-01-10,강원,78
2016-01-11,강원,1519
2016-01-12,강원,1046
2016-01-13,강원,989
2016-01-14,강원,985
2016-01-15,강원,1080
2016-01-16,강원,780
2016-01-17,강원,69
2016-01-18,강원,1455
2016-01-19,강원,935
2016-01-20,강원,975
2016-01-21,강원,1035
2016-01-22,강원,1104
2016-01-23,강원,706
2016-01-24,강원,76
2016-01-25,강원,1333
2016-01-26,강원,1041
2016-01-27,강원,984
2016-01-28,강원,1002
2016-01-29,강원,1135
2016-01-30,강원,685
2016-01-31,강원,82
2016-02-01,강원,1509
2016-02-02,강원,1113
2016-02-03,강원,1140
2016-02-04,강원,1179
2016-02-05,강원,1443
2016-02-06,강원,1023
2016-02-07,강원,87
2016-02-08,강원,57
2016-02-09,강원,113
2016-02-10,강원,579
2016-02-11,강원,1641
2016-02-12,강원,1221
2016-02-13,강원,906
2016-02-14,강원,91
2016-02-15,강원,1645
2016-02-16,강원,1111
2016-02-17,강원,1040
2016-02-18,강원,987
2016-02-19,강원,1100
2016-02-20,강원,716
2016-02-21,강원,77
2016-02-22,강원,1484
2016-02-23,강원,1070
2016-02-24,강원,944
2016-02-25,강원,1028
2016-02-26,강원,1127
2016-02-27,강원,742
2016-02-28,강원,86
2016-02-29,강원,1501
2016-03-01,강원,194
2016-03-02,강원,1299
2016-03-03,강원,1057
2016-03-04,강원,1054
2016-03-05,강원,694
2016-03-06,강원,85
2016-03-07,강원,1358
2016-03-08,강원,935
2016-03-09,강원,883
2016-03-10,강원,913
2016-03-11,강원,1062
2016-03-12,강원,747
2016-03-13,강원,69
2016-03-14,강원,1556
2016-03-15,강원,1011
2016-03-16,강원,979
2016-03-17,강원,1097
2016-03-18,강원,1141
2016-03-19,강원,775
2016-03-20,강원,82
2016-03-21,강원,1513
2016-03-22,강원,1019
2016-03-23,강원,976
2016-03-24,강원,1077
2016-03-25,강원,1159
2016-03-26,강원,805
2016-03-27,강원,87
2016-03-28,강원,1579
2016-03-29,강원,1086
2016-03-30,강원,1009
2016-03-31,강원,1047
2016-04-01,강원,1185
2016-04-02,강원,810
2016-04-03,강원,88
