지역,날짜,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
강원,2016-01-01,-4.6,-7.9,-1.8,23,,,
강원,2016-01-02,-2.9,-5.4,0.9,24,,,
강원,2016-01-03,1.1,-7.2,6.9,16,,,
강원,2016-01-04,5.8,1.9,10.4,36,,,
강원,2016-01-05,7.3,2.2,12.2,20,,,
강원,2016-01-06,3.4,-2.4,8.6,21,,,
강원,2016-01-07,-2.2,-6.7,3.1,19,,,
강원,2016-01-08,-0.5,-4.9,5.3,18,,,
강원,2016-01-09,1.5,-2.7,6.3,19,,,
강원,2016-01-10,3.1,-0.5,6.4,23,,,
강원,2016-01-11,1.8,-1.3,4.6,34,,,
강원,2016-01-12,-0.2,-4.7,4.9,24,,,
강원,2016-01-13,3.2,-3,8.3,24,,,
강원,2016-01-14,4.8,-0.4,8,22,,,
강원,2016-01-15,3.4,1.1,4.8,72,,,
강원,2016-01-16,2.9,0,7.2,44,,,
강원,2016-01-17,0.8,-3.4,5.3,18,,,
강원,2016-01-18,2.8,-0.3,6.1,17,,,
강원,2016-01-19,3.4,0.1,7,33,,,
강원,2016-01-20,1.3,-2.8,5.9,35,,,
강원,2016-01-21,2.4,-1.3,5,61,,,
강원,2016-01-22,2.2,0.8,4.5,71,,,
강원,2016-01-23,2.8,-2.5,7.3,43,,,
강원,2016-01-24,5.1,1,9.3,34,,,
강원,2016-01-25,3.5,0.6,5.9,52,,,
강원,2016-01-26,4.5,1.6,8.2,47,,,
강원,2016-01-27,0.3,-3.7,6.1,54,,,
강원,2016-01-28,-1.6,-4.5,0.8,64,,,
강원,2016-01-29,0.1,-2.7,2.1,60,,,
강원,2016-01-30,1.1,-2.8,4,27,,,
강원,2016-01-31,-1.9,-4.5,1.1,42,,,
강원,2016-02-01,-0.4,-4.4,3.8,30,,,
강원,2016-02-02,0.2,-3.3,3.9,41,,,
강원,2016-02-03,1.1,-3,4.6,66,,,
강원,2016-02-04,1.3,-2.4,4.4,63,,,
강원,2016-02-05,0.9,-2.5,3.7,63,,,
강원,2016-02-06,3.2,-2.4,7.1,32,,,
강원,2016-02-07,4.4,0.8,7.1,33,,,
강원,2016-02-08,-4.9,-8.6,3.9,19,,,
강원,2016-02-09,-3.1,-10.4,1.3,19,,,
강원,2016-02-10,3.6,-0.9,6.5,31,,,
강원,2016-02-11,4.4,0.4,9.2,22,,,
강원,2016-02-12,0.2,-2.7,4.2,18,,,
강원,2016-02-13,1.1,-3.7,5.7,20,,,
강원,2016-02-14,6,-1,9.1,28,,,
강원,2016-02-15,6.5,3.8,9.3,44,,,
강원,2016-02-16,4,1.9,6.2,76,,,
강원,2016-02-17,2.3,1.1,3.8,77,,,
강원,2016-02-18,2.9,1.2,5.1,68,,,
강원,2016-02-19,1.2,-1.2,3.7,79,,,
강원,2016-02-20,3.4,-2.5,8.1,58,,,
강원,2016-02-21,3.5,2.5,5,78,,,
강원,2016-02-22,6.3,2.8,14.5,30,,,
강원,2016-02-23,4.8,1.5,8.7,26,,,
강원,2016-02-24,3.2,-0.3,7.1,30,,,
강원,2016-02-25,4,-0.2,7.4,45,,,
강원,2016-02-26,4.5,-1,8.6,25,,,
강원,2016-02-27,-0.6,-3.3,3.2,29,,,
강원,2016-02-28,3.3,-2.4,6.8,34,,,
강원,2016-02-29,4.4,1.7,7.4,28,,,
강원,2016-03-01,5.3,2.9,8.3,32,,,
강원,2016-03-02,6.2,0.8,11.5,21,,,
강원,2016-03-03,5.4,3.7,7.5,41,,,
강원,2016-03-04,0.4,-2.7,4.3,23,,,
강원,2016-03-05,0,-3.7,4,27,,,
강원,2016-03-06,1.6,-3.9,6.3,45,,,
강원,2016-03-07,4.3,-2.1,8.8,45,,,
강원,2016-03-08,5.4,0.8,9.1,41,,,
강원,2016-03-09,5.1,-2.5,11.9,20,,,
강원,2016-03-10,-1.1,-5,3.6,17,,,
강원,2016-03-11,2.2,-1.9,6.3,19,,,
강원,2016-03-12,4,-1.2,9,18,,,
강원,2016-03-13,4.2,-0.6,8.1,28,,,
강원,2016-03-14,3.6,-0.9,7.7,31,,,
강원,2016-03-15,7.2,-0.4,15.6,18,,,
강원,2016-03-16,7,1.1,13.2,51,,,
강원,2016-03-17,11,6,17.5,34,,,
강원,2016-03-18,5.1,4.2,6.4,77,,,
강원,2016-03-19,6.2,4.3,9,52,,,
강원,2016-03-20,7.5,3.8,10.2,60,,,
강원,2016-03-21,10,2.8,18.8,20,,,
강원,2016-03-22,10.7,6.1,17.5,12,,,
강원,2016-03-23,5.2,0.2,11.5,15,,,
강원,2016-03-24,3.8,-0.1,8.6,26,,,
강원,2016-03-25,4.1,-1.6,8.6,39,,,
강원,2016-03-26,12.2,2.4,16.6,20,,,
강원,2016-03-27,15.8,10.2,21.4,17,,,
강원,2016-03-28,15.1,10.5,19.3,13,,,
강원,2016-03-29,11.2,5.7,18.1,30,,,
강원,2016-03-30,11.4,4.5,18.3,23,,,
강원,2016-03-31,14.4,8.7,18.1,23,,,
강원,2016-04-01,6.7,5.7,9,83,,,
강원,2016-04-02,6.3,3.4,8.9,88,,,
강원,2016-04-03,7.5,5.3,11.3,72,,,
강원,2016-04-04,6.7,3.9,9.5,69,,,
강원,2016-04-05,6.1,5.6,7.4,78,,,
강원,2016-04-06,6.6,4.1,10.1,77,,,
강원,2016-04-07,3.1,1.9,5.5,68,,,
강원,2016-04-08,4.5,2.2,7.9,83,,,
강원,2016-04-09,6,1.2,9.5,78,,,
강원,2016-04-10,9,3.8,13.4,42,,,
강원,2016-04-11,6.8,4.3,9.3,69,,,
강원,2016-04-12,6.3,4.3,7.9,100,,,
강원,2016-04-13,6.1,5.2,7.1,92,,,
강원,2016-04-14,6,3.5,8.5,68,,,
강원,2016-04-15,13.6,4.1,19,33,,,
강원,2016-04-16,11.2,8.4,17.3,36,,,
강원,2016-04-17,15.1,10.4,20.5,17,,,
강원,2016-04-18,16.1,10.5,22,16,,,
강원,2016-04-19,10.7,7,17,31,,,
강원,2016-04-20,8.1,4.4,11.2,72,,,
강원,2016-04-21,14.9,3.7,24.1,18,,,
강원,2016-04-22,15.4,11.4,21.4,17,,,
강원,2016-04-23,18.9,10.4,24.8,16,,,
강원,2016-04-24,15.8,10.4,19,20,,,
강원,2016-04-25,16.7,8.1,23.1,18,,,
강원,2016-04-26,25,19.9,29,22,,,
강원,2016-04-27,25.1,20,29.8,19,,,
강원,2016-04-28,17.6,10.5,23.7,20,,,
강원,2016-04-29,9.4,8,11.1,74,,,
강원,2016-04-30,10.6,7,13.7,77,,,
강원,2016-05-01,14,9.5,18.8,59,,,
강원,2016-05-02,16,10.5,21.8,58,,,
강원,2016-05-03,16.2,13,20,91,,,
강원,2016-05-04,15.4,10.9,21.4,28,,,
강원,2016-05-05,19.1,11.8,25.5,17,,,
강원,2016-05-06,17.8,13.1,21.4,24,,,
강원,2016-05-07,13.3,10.8,18.8,35,,,
강원,2016-05-08,16.6,10,20.3,33,,,
강원,2016-05-09,13.4,9.6,20.2,50,,,
강원,2016-05-10,11,7.8,14.7,71,,,
강원,2016-05-11,11.6,7.9,15.8,73,,,
강원,2016-05-12,16.3,11.2,20.7,34,,,
강원,2016-05-13,22.9,15,28.9,22,,,
강원,2016-05-14,18.5,11.8,24.6,25,,,
강원,2016-05-15,11.2,10.2,13.9,77,,,
강원,2016-05-16,18.5,10.1,27.8,15,,,
강원,2016-05-17,21.1,17.4,26.5,16,,,
강원,2016-05-18,20.9,15.6,24.3,22,,,
강원,2016-05-19,19.2,15.6,25.3,34,,,
강원,2016-05-20,16.3,13.3,19.3,36,,,
강원,2016-05-21,24,13.2,29.8,20,,,
강원,2016-05-22,26.3,22.8,30.7,20,,,
강원,2016-05-23,23,17.8,28.1,26,,,
강원,2016-05-24,21.4,15.7,26.1,27,,,
강원,2016-05-25,19.2,13.7,25.7,33,,,
강원,2016-05-26,23.3,14.1,32.6,20,,,
강원,2016-05-27,15.2,12.8,18.4,76,,,
강원,2016-05-28,15.9,14.3,18.7,77,,,
강원,2016-05-29,19.3,14.2,22.7,63,,,
강원,2016-05-30,19,14.2,25.8,41,,,
강원,2016-05-31,17.4,12.7,22.2,55,,,
강원,2016-06-01,24.5,14.9,30.1,19,,,
강원,2016-06-02,21.7,18.5,29.5,31,,,
강원,2016-06-03,21.4,17.8,25.9,25,,,
강원,2016-06-04,22.8,17.1,27.4,25,,,
강원,2016-06-05,17.8,14.6,23.1,33,,,
강원,2016-06-06,17.2,12.9,21.1,50,,,
강원,2016-06-07,17.3,14.2,22.5,62,,,
강원,2016-06-08,18,15.1,22.3,57,,,
강원,2016-06-09,20.4,12.7,24.6,51,,,
강원,2016-06-10,22.3,17.7,27.1,39,,,
강원,2016-06-11,18.8,16.2,21.7,71,,,
강원,2016-06-12,16.9,15.7,18.5,81,,,
강원,2016-06-13,17.1,15.8,20,79,,,
강원,2016-06-14,17.8,16.1,22.1,74,,,
강원,2016-06-15,17.9,15.6,20.5,91,,,
강원,2016-06-16,18.3,16.8,20.4,91,,,
강원,2016-06-17,19.3,17.1,21.9,77,,,
강원,2016-06-18,18.9,17.8,20.1,93,,,
강원,2016-06-19,17.7,15.7,19.8,75,,,
강원,2016-06-20,18.2,14.4,21.5,67,,,
강원,2016-06-21,20,16.2,23.9,64,,,
강원,2016-06-22,19.9,16.3,23.6,77,,,
강원,2016-06-23,20.3,18.5,24.5,66,,,
강원,2016-06-24,20.9,19.3,23.7,72,,,
강원,2016-06-25,20.7,19.7,23.3,83,,,
강원,2016-06-26,18.5,16.8,20.1,96,,,
강원,2016-06-27,18.8,17.4,22.4,73,,,
강원,2016-06-28,19.4,17.9,21.3,75,,,
강원,2016-06-29,21.3,16.7,26.9,54,,,
강원,2016-06-30,19.7,17.6,26.8,55,,,
강원,2016-07-01,22,17.3,29.6,34,,,
강원,2016-07-02,22.8,19.6,29.1,37,,,
강원,2016-07-03,19.9,16.9,22.5,56,,,
강원,2016-07-04,19.5,16.5,22.6,68,,,
강원,2016-07-05,19.7,15.4,22.8,74,,,
강원,2016-07-06,20.2,17,23.8,73,,,
강원,2016-07-07,19.5,14.8,22.7,69,,,
강원,2016-07-08,19.2,18.3,20.5,89,,,
강원,2016-07-09,20.1,18.2,22.5,84,,,
강원,2016-07-10,21.3,18.1,24.2,82,,,
강원,2016-07-11,21.9,20.5,24.3,83,,,
강원,2016-07-12,21.3,20.1,23.3,100,,,
강원,2016-07-13,27.2,20,32.5,50,,,
강원,2016-07-14,26.2,22.2,33.9,38,,,
강원,2016-07-15,21.4,19.9,25.1,76,,,
강원,2016-07-16,19.8,18.3,20.7,72,,,
강원,2016-07-17,19.8,17.3,21.7,57,,,
강원,2016-07-18,21.4,19.4,23.9,57,,,
강원,2016-07-19,20.3,19.1,23,66,,,
강원,2016-07-20,20.2,18.1,23.8,70,,,
강원,2016-07-21,20.8,18.1,23.5,79,,,
강원,2016-07-22,21.8,20.1,24.4,88,,,
강원,2016-07-23,23.7,21.5,27.8,55,,,
강원,2016-07-24,23.6,22.5,25,100,,,
강원,2016-07-25,23.1,22,25.3,100,,,
강원,2016-07-26,26.2,22,30.8,61,,,
강원,2016-07-27,28.4,24.1,33.9,48,,,
강원,2016-07-28,28.3,24.4,32.5,54,,,
강원,2016-07-29,25,23.3,27.2,67,,,
강원,2016-07-30,28.9,24.3,31.9,56,,,
강원,2016-07-31,29.4,23.7,35.4,43,,,
강원,2016-08-01,24,22.1,28.2,87,,,
강원,2016-08-02,24.3,22.1,27.9,89,,,
강원,2016-08-03,27.6,24.5,31.2,63,,,
강원,2016-08-04,29.1,25.3,32.5,52,,,
강원,2016-08-05,27.2,24,33,49,,,
강원,2016-08-06,27.6,23.5,31.2,60,,,
강원,2016-08-07,26,23.1,29.3,87,,,
강원,2016-08-08,25,21.5,29.4,84,,,
강원,2016-08-09,26.8,21.4,30.6,58,,,
강원,2016-08-10,27.3,23.9,31.4,54,,,
강원,2016-08-11,25.7,22.3,28.8,68,,,
강원,2016-08-12,24.3,20.7,27.2,76,,,
강원,2016-08-13,23.7,19.5,28.2,74,,,
강원,2016-08-14,23,19.7,26.9,70,,,
강원,2016-08-15,24.7,21,28.1,71,,,
강원,2016-08-16,23.1,19.1,28.2,84,,,
강원,2016-08-17,23.8,19.5,26.7,73,,,
강원,2016-08-18,24,20.7,27.5,71,,,
강원,2016-08-19,23.6,19.6,27.4,71,,,
강원,2016-08-20,23.8,21.9,27.1,84,,,
강원,2016-08-21,23.3,20.6,27.1,69,,,
강원,2016-08-22,23.8,20,28,64,,,
강원,2016-08-23,24,20,26.9,67,,,
강원,2016-08-24,23.1,21.1,26.6,79,,,
강원,2016-08-25,20.8,19.2,22.6,83,,,
강원,2016-08-26,19.2,16.1,22,56,,,
강원,2016-08-27,23.9,17.2,30,27,,,
강원,2016-08-28,22.4,18.1,26.3,35,,,
강원,2016-08-29,22.1,17.6,26.9,55,,,
강원,2016-08-30,21.7,18.3,25.1,84,,,
강원,2016-08-31,21.7,19.2,24.6,87,,,
강원,2016-09-01,21.1,18.6,22.8,90,,,
강원,2016-09-02,21.2,17.6,24.6,80,,,
강원,2016-09-03,21.6,18,27.1,55,,,
강원,2016-09-04,21.5,17.8,25.7,76,,,
강원,2016-09-05,20.1,18.4,24.6,79,,,
강원,2016-09-06,20.2,17.3,21.8,67,,,
강원,2016-09-07,18.8,14.9,22.8,63,,,
강원,2016-09-08,18.1,13.6,22.2,54,,,
강원,2016-09-09,19.3,16.4,22.1,61,,,
강원,2016-09-10,20.2,16.4,24,62,,,
강원,2016-09-11,19.4,15.7,22.1,69,,,
강원,2016-09-12,16.8,14.3,19.6,70,,,
강원,2016-09-13,17.7,12.9,22.4,39,,,
강원,2016-09-14,19,13,24.5,49,,,
강원,2016-09-15,18,12.9,23.3,55,,,
강원,2016-09-16,17.5,12.5,22.2,51,,,
강원,2016-09-17,18.1,15.2,20.8,51,,,
강원,2016-09-18,18.5,15.4,22.1,66,,,
강원,2016-09-19,18.4,13.7,22.5,63,,,
강원,2016-09-20,19.3,14.3,23.4,76,,,
강원,2016-09-21,19.6,15.9,23.8,81,,,
강원,2016-09-22,19.5,15,24.2,75,,,
강원,2016-09-23,19.1,15.4,22.3,68,,,
강원,2016-09-24,18.9,15.7,23.5,72,,,
강원,2016-09-25,19.3,15.9,23.1,73,,,
강원,2016-09-26,19.1,15.7,23.1,74,,,
