지점,날짜,발생건수(건)
강원,20160101,253
강원,20160102,797
강원,20160103,94
강원,20160104,1638
강원,20160105,1096
강원,20160106,1027
강원,20160107,974
강원,20160108,1100
강원,20160109,757
강원,20160110,78
강원,20160111,1527
강원,20160112,1049
강원,20160113,993
강원,20160114,986
강원,20160115,1084
강원,20160116,781
강원,20160117,69
강원,20160118,1456
강원,20160119,945
강원,20160120,976
강원,20160121,1037
강원,20160122,1106
강원,20160123,711
강원,20160124,76
강원,20160125,1337
강원,20160126,1046
강원,20160127,988
강원,20160128,1003
강원,20160129,1139
강원,20160130,686
강원,20160131,82
강원,20160201,1511
강원,20160202,1113
강원,20160203,1140
강원,20160204,1180
강원,20160205,1443
강원,20160206,1023
강원,20160207,87
강원,20160208,57
강원,20160209,113
강원,20160210,579
강원,20160211,1644
강원,20160212,1221
강원,20160213,906
강원,20160214,91
강원,20160215,1647
강원,20160216,1112
강원,20160217,1042
강원,20160218,987
강원,20160219,1100
강원,20160220,717
강원,20160221,77
강원,20160222,1484
강원,20160223,1070
강원,20160224,944
강원,20160225,1029
강원,20160226,1127
강원,20160227,742
강원,20160228,87
강원,20160229,1502
강원,20160301,194
강원,20160302,1299
강원,20160303,1058
강원,20160304,1054
강원,20160305,694
강원,20160306,85
강원,20160307,1358
강원,20160308,935
강원,20160309,884
강원,20160310,913
강원,20160311,1062
강원,20160312,748
강원,20160313,69
강원,20160314,1556
강원,20160315,1011
강원,20160316,979
강원,20160317,1098
강원,20160318,1141
강원,20160319,776
강원,20160320,82
강원,20160321,1513
강원,20160322,1020
강원,20160323,976
강원,20160324,1077
강원,20160325,1159
강원,20160326,805
강원,20160327,87
강원,20160328,1580
강원,20160329,1086
강원,20160330,1009
강원,20160331,1047
강원,20160401,1185
강원,20160402,811
강원,20160403,88
강원,20160404,1495
강원,20160405,1034
강원,20160406,1048
강원,20160407,1000
강원,20160408,1019
강원,20160409,742
강원,20160410,72
강원,20160411,1478
강원,20160412,1048
강원,20160413,542
강원,20160414,1087
강원,20160415,1006
강원,20160416,791
강원,20160417,69
강원,20160418,1392
강원,20160419,972
강원,20160420,908
강원,20160421,985
강원,20160422,1013
강원,20160423,638
강원,20160424,55
강원,20160425,1468
강원,20160426,1028
강원,20160427,1086
강원,20160428,974
강원,20160429,1176
강원,20160430,794
강원,20160501,157
강원,20160502,1508
강원,20160503,1094
강원,20160504,1213
강원,20160505,148
강원,20160506,930
강원,20160507,624
강원,20160508,79
강원,20160509,1441
강원,20160510,1018
강원,20160511,993
강원,20160512,895
강원,20160513,1092
강원,20160514,232
강원,20160515,98
강원,20160516,1492
강원,20160517,950
강원,20160518,919
강원,20160519,907
강원,20160520,985
강원,20160521,658
강원,20160522,87
강원,20160523,1276
강원,20160524,956
강원,20160525,895
강원,20160526,899
강원,20160527,965
강원,20160528,629
강원,20160529,74
강원,20160530,1248
강원,20160531,869
강원,20160601,901
강원,20160602,857
강원,20160603,928
강원,20160604,599
