날짜,시도지역코드,발생건수(건)
20140101,서울,247
20140101,부산,91
20140101,대구,96
20140101,인천,83
20140101,광주,57
20140101,대전,73
20140101,울산,36
20140101,경기,325
20140101,강원,44
20140101,충북,73
20140101,충남,90
20140101,전북,155
20140101,전남,101
20140101,경북,108
20140101,경남,97
20140101,제주,57
20140101,전국,1734
20140102,서울,8811
20140102,부산,3258
20140102,대구,2886
20140102,인천,1888
20140102,광주,1135
20140102,대전,1437
20140102,울산,1032
20140102,경기,10135
20140102,강원,1475
20140102,충북,1371
20140102,충남,2017
20140102,전북,2161
20140102,전남,1663
20140102,경북,3113
20140102,경남,3140
20140102,제주,663
20140102,전국,46198
20140103,서울,7829
20140103,부산,2907
20140103,대구,2424
20140103,인천,1743
20140103,광주,929
20140103,대전,1273
20140103,울산,848
20140103,경기,8831
20140103,강원,1196
20140103,충북,1203
20140103,충남,1779
20140103,전북,1915
20140103,전남,1472
20140103,경북,2614
20140103,경남,2860
20140103,제주,634
20140103,전국,40468
20140104,서울,6350
20140104,부산,2246
20140104,대구,2076
20140104,인천,1426
20140104,광주,817
20140104,대전,1058
20140104,울산,691
20140104,경기,7399
20140104,강원,767
20140104,충북,972
20140104,충남,1399
20140104,전북,1404
20140104,전남,1153
20140104,경북,2020
20140104,경남,2094
20140104,제주,446
20140104,전국,32325
20140105,서울,234
20140105,부산,71
20140105,대구,60
20140105,인천,78
20140105,광주,50
20140105,대전,37
20140105,울산,30
20140105,경기,454
20140105,강원,17
20140105,충북,53
20140105,충남,58
20140105,전북,55
20140105,전남,65
20140105,경북,32
20140105,경남,55
20140105,제주,37
20140105,전국,1386
20140106,서울,9782
20140106,부산,3719
20140106,대구,3137
20140106,인천,2288
20140106,광주,1087
20140106,대전,1532
20140106,울산,1016
20140106,경기,11166
20140106,강원,1509
20140106,충북,1514
20140106,충남,2181
20140106,전북,2477
20140106,전남,1944
20140106,경북,3308
20140106,경남,3508
20140106,제주,768
20140106,전국,50946
20140107,서울,7886
20140107,부산,2858
20140107,대구,2493
20140107,인천,1717
20140107,광주,963
20140107,대전,1239
20140107,울산,813
20140107,경기,8750
20140107,강원,1255
20140107,충북,1180
20140107,충남,1781
20140107,전북,1962
20140107,전남,1487
20140107,경북,2554
20140107,경남,2615
20140107,제주,592
20140107,전국,40159
20140108,서울,7171
20140108,부산,2254
20140108,대구,2179
20140108,인천,1591
20140108,광주,882
20140108,대전,1029
20140108,울산,693
20140108,경기,7960
20140108,강원,1032
20140108,충북,1021
20140108,충남,1574
20140108,전북,1668
20140108,전남,1234
20140108,경북,2273
20140108,경남,2326
20140108,제주,462
20140108,전국,35360
20140109,서울,6369
20140109,부산,2534
20140109,대구,2023
20140109,인천,1290
20140109,광주,794
20140109,대전,998
20140109,울산,746
20140109,경기,7118
20140109,강원,1082
20140109,충북,1034
20140109,충남,1412
20140109,전북,1593
20140109,전남,1288
20140109,경북,2129
20140109,경남,2304
20140109,제주,484
20140109,전국,33208
20140110,서울,7502
20140110,부산,2717
20140110,대구,2388
20140110,인천,1572
20140110,광주,863
20140110,대전,1192
20140110,울산,787
20140110,경기,8163
20140110,강원,1180
20140110,충북,1066
20140110,충남,1549
20140110,전북,1800
20140110,전남,1441
20140110,경북,2378
20140110,경남,2702
20140110,제주,592
20140110,전국,37903
20140111,서울,6102
20140111,부산,2102
20140111,대구,2055
20140111,인천,1344
20140111,광주,772
20140111,대전,1019
20140111,울산,644
20140111,경기,7194
20140111,강원,778
20140111,충북,955
20140111,충남,1326
20140111,전북,1268
20140111,전남,1101
20140111,경북,1878
20140111,경남,2157
20140111,제주,433
20140111,전국,31139
20140112,서울,208
20140112,부산,53
20140112,대구,56
20140112,인천,65
20140112,광주,37
20140112,대전,35
20140112,울산,42
20140112,경기,379
20140112,강원,20
20140112,충북,55
20140112,충남,46
20140112,전북,67
20140112,전남,47
20140112,경북,47
20140112,경남,68
20140112,제주,43
20140112,전국,1269
20140113,서울,8993
20140113,부산,3435
20140113,대구,2961
20140113,인천,1927
20140113,광주,1133
20140113,대전,1383
20140113,울산,1057
20140113,경기,10179
20140113,강원,1524
20140113,충북,1413
20140113,충남,2102
20140113,전북,2247
20140113,전남,1726
20140113,경북,3162
20140113,경남,3254
20140113,제주,708
20140113,전국,47220
20140114,서울,7321
20140114,부산,2640
20140114,대구,2252
20140114,인천,1579
20140114,광주,914
20140114,대전,1049
20140114,울산,848
20140114,경기,8072
20140114,강원,1150
20140114,충북,1088
20140114,충남,1559
20140114,전북,1801
20140114,전남,1412
20140114,경북,2295
20140114,경남,2488
20140114,제주,588
20140114,전국,37065
20140115,서울,7314
20140115,부산,2712
20140115,대구,2260
20140115,인천,1560
20140115,광주,881
20140115,대전,1132
20140115,울산,829
20140115,경기,8088
20140115,강원,1083
20140115,충북,1079
20140115,충남,1565
20140115,전북,1702
20140115,전남,1314
20140115,경북,2296
20140115,경남,2574
20140115,제주,523
20140115,전국,36922
20140116,서울,7110
20140116,부산,2631
20140116,대구,2331
20140116,인천,1565
20140116,광주,837
20140116,대전,1078
20140116,울산,815
20140116,경기,7730
20140116,강원,1172
20140116,충북,1053
20140116,충남,1594
20140116,전북,1787
20140116,전남,1433
20140116,경북,2430
20140116,경남,2368
20140116,제주,545
20140116,전국,36496
20140117,서울,7658
20140117,부산,2782
20140117,대구,2369
20140117,인천,1756
20140117,광주,923
20140117,대전,1218
20140117,울산,866
20140117,경기,8524
20140117,강원,1202
20140117,충북,1112
20140117,충남,1687
20140117,전북,1961
20140117,전남,1433
20140117,경북,2606
20140117,경남,2753
20140117,제주,620
20140117,전국,39479
20140118,서울,5880
20140118,부산,2035
20140118,대구,2101
20140118,인천,1371
20140118,광주,797
20140118,대전,975
20140118,울산,719
20140118,경기,6812
20140118,강원,790
20140118,충북,958
20140118,충남,1309
20140118,전북,1308
20140118,전남,1021
20140118,경북,1873
20140118,경남,2092
20140118,제주,440
20140118,전국,30488
20140119,서울,247
20140119,부산,64
20140119,대구,71
20140119,인천,82
20140119,광주,46
20140119,대전,50
20140119,울산,41
20140119,경기,434
20140119,강원,18
20140119,충북,54
20140119,충남,66
20140119,전북,91
20140119,전남,77
20140119,경북,38
20140119,경남,76
20140119,제주,47
20140119,전국,1505
20140120,서울,8217
20140120,부산,3529
20140120,대구,2890
20140120,인천,1913
20140120,광주,1209
20140120,대전,1304
20140120,울산,1090
20140120,경기,9234
20140120,강원,1314
20140120,충북,1306
20140120,충남,1941
20140120,전북,2376
20140120,전남,1881
20140120,경북,2944
20140120,경남,3278
20140120,제주,716
20140120,전국,45154
20140121,서울,7022
20140121,부산,2637
20140121,대구,2188
20140121,인천,1522
20140121,광주,774
20140121,대전,1041
20140121,울산,771
20140121,경기,7438
20140121,강원,983
20140121,충북,926
20140121,충남,1343
20140121,전북,1464
20140121,전남,1255
20140121,경북,2228
20140121,경남,2469
20140121,제주,548
20140121,전국,34616
20140122,서울,7217
20140122,부산,2618
20140122,대구,2321
20140122,인천,1710
20140122,광주,982
20140122,대전,1145
20140122,울산,745
20140122,경기,7877
20140122,강원,996
20140122,충북,1088
20140122,충남,1599
20140122,전북,1806
20140122,전남,1419
20140122,경북,2314
20140122,경남,2638
20140122,제주,499
20140122,전국,36984
20140123,서울,7243
20140123,부산,2637
20140123,대구,2328
20140123,인천,1624
20140123,광주,935
20140123,대전,1142
20140123,울산,789
20140123,경기,7990
20140123,강원,1164
20140123,충북,1095
20140123,충남,1645
20140123,전북,1894
20140123,전남,1459
20140123,경북,2446
20140123,경남,2587
20140123,제주,554
20140123,전국,37546
20140124,서울,7999
20140124,부산,2886
20140124,대구,2468
20140124,인천,1692
20140124,광주,1049
20140124,대전,1201
20140124,울산,805
20140124,경기,8608
20140124,강원,1229
20140124,충북,1263
20140124,충남,1819
20140124,전북,2031
20140124,전남,1530
20140124,경북,2599
20140124,경남,2847
20140124,제주,597
20140124,전국,40641
20140125,서울,5818
20140125,부산,2146
20140125,대구,1865
20140125,인천,1329
20140125,광주,810
20140125,대전,1013
20140125,울산,649
20140125,경기,6822
20140125,강원,792
20140125,충북,929
20140125,충남,1264
20140125,전북,1292
20140125,전남,1135
20140125,경북,1797
20140125,경남,2054
20140125,제주,416
20140125,전국,30140
20140126,서울,234
20140126,부산,59
20140126,대구,54
20140126,인천,61
20140126,광주,47
20140126,대전,49
20140126,울산,40
20140126,경기,381
20140126,강원,34
20140126,충북,57
20140126,충남,62
20140126,전북,58
20140126,전남,50
20140126,경북,58
20140126,경남,80
20140126,제주,41
20140126,전국,1365
20140127,서울,10184
20140127,부산,3615
20140127,대구,3231
20140127,인천,2435
20140127,광주,1274
20140127,대전,1593
20140127,울산,1085
20140127,경기,11301
20140127,강원,1667
20140127,충북,1537
20140127,충남,2283
20140127,전북,2623
20140127,전남,2095
20140127,경북,3317
20140127,경남,3739
20140127,제주,839
20140127,전국,52832
20140128,서울,8408
20140128,부산,3011
20140128,대구,2617
20140128,인천,1799
20140128,광주,1036
20140128,대전,1258
20140128,울산,860
20140128,경기,9255
20140128,강원,1315
20140128,충북,1224
20140128,충남,1871
20140128,전북,2100
20140128,전남,1580
20140128,경북,2679
20140128,경남,2847
20140128,제주,725
20140128,전국,42597
20140129,서울,10009
20140129,부산,3249
20140129,대구,3060
20140129,인천,2115
20140129,광주,1190
20140129,대전,1402
20140129,울산,1068
20140129,경기,10754
20140129,강원,1354
20140129,충북,1368
20140129,충남,1985
20140129,전북,2170
20140129,전남,1781
20140129,경북,2982
20140129,경남,3146
20140129,제주,730
20140129,전국,48371
20140130,서울,558
20140130,부산,272
20140130,대구,479
20140130,인천,191
20140130,광주,157
20140130,대전,177
20140130,울산,97
20140130,경기,722
20140130,강원,122
20140130,충북,125
20140130,충남,189
20140130,전북,305
20140130,전남,301
20140130,경북,333
20140130,경남,340
20140130,제주,90
20140130,전국,4461
20140131,서울,173
20140131,부산,46
20140131,대구,31
20140131,인천,42
20140131,광주,25
20140131,대전,46
20140131,울산,23
20140131,경기,187
20140131,강원,15
20140131,충북,40
20140131,충남,26
20140131,전북,60
20140131,전남,44
20140131,경북,28
20140131,경남,52
20140131,제주,14
20140131,전국,852
20140201,서울,416
20140201,부산,103
20140201,대구,112
20140201,인천,113
20140201,광주,92
20140201,대전,72
20140201,울산,70
20140201,경기,609
20140201,강원,51
20140201,충북,76
20140201,충남,126
20140201,전북,142
20140201,전남,132
20140201,경북,90
20140201,경남,154
20140201,제주,61
20140201,전국,2420
20140202,서울,284
20140202,부산,56
20140202,대구,90
20140202,인천,95
20140202,광주,48
20140202,대전,45
20140202,울산,35
20140202,경기,459
20140202,강원,33
20140202,충북,44
20140202,충남,66
20140202,전북,53
20140202,전남,77
20140202,경북,66
20140202,경남,78
20140202,제주,35
20140202,전국,1566
20140203,서울,11418
20140203,부산,3990
20140203,대구,3397
20140203,인천,2361
20140203,광주,1495
20140203,대전,1791
20140203,울산,1245
20140203,경기,13212
20140203,강원,1737
20140203,충북,1892
20140203,충남,2632
20140203,전북,2908
20140203,전남,2242
20140203,경북,3769
20140203,경남,4129
20140203,제주,898
20140203,전국,59136
20140204,서울,7589
20140204,부산,2528
20140204,대구,2241
20140204,인천,1631
20140204,광주,1004
20140204,대전,1145
20140204,울산,783
20140204,경기,8508
20140204,강원,1289
20140204,충북,1193
20140204,충남,1670
20140204,전북,2052
20140204,전남,1381
20140204,경북,2418
20140204,경남,2558
20140204,제주,604
20140204,전국,38601
20140205,서울,7697
20140205,부산,2611
20140205,대구,2174
20140205,인천,1696
20140205,광주,930
20140205,대전,1198
20140205,울산,796
20140205,경기,8626
20140205,강원,1124
20140205,충북,1198
20140205,충남,1753
20140205,전북,1962
20140205,전남,1487
20140205,경북,2385
20140205,경남,2619
20140205,제주,574
20140205,전국,38836
20140206,서울,7814
20140206,부산,2477
20140206,대구,2159
20140206,인천,1765
20140206,광주,1029
20140206,대전,1246
20140206,울산,731
20140206,경기,8794
20140206,강원,1254
20140206,충북,1217
20140206,충남,1746
20140206,전북,2000
20140206,전남,1367
20140206,경북,2437
20140206,경남,2408
20140206,제주,529
20140206,전국,38985
20140207,서울,8191
20140207,부산,2331
20140207,대구,2161
20140207,인천,1836
20140207,광주,1099
20140207,대전,1235
20140207,울산,720
20140207,경기,8961
20140207,강원,1064
20140207,충북,1322
20140207,충남,1787
20140207,전북,2152
20140207,전남,1653
20140207,경북,2406
20140207,경남,2645
20140207,제주,594
20140207,전국,40167
20140208,서울,6330
20140208,부산,1971
20140208,대구,1913
20140208,인천,1383
20140208,광주,844
20140208,대전,1103
20140208,울산,645
20140208,경기,7401
20140208,강원,691
20140208,충북,1054
20140208,충남,1405
20140208,전북,1512
20140208,전남,1133
20140208,경북,1877
20140208,경남,2141
20140208,제주,428
20140208,전국,31839
20140209,서울,231
20140209,부산,53
20140209,대구,51
20140209,인천,36
20140209,광주,50
20140209,대전,43
20140209,울산,34
20140209,경기,362
20140209,강원,15
20140209,충북,48
20140209,충남,51
20140209,전북,74
20140209,전남,57
20140209,경북,37
20140209,경남,63
20140209,제주,38
20140209,전국,1245
20140210,서울,9844
20140210,부산,2761
20140210,대구,2807
20140210,인천,2224
20140210,광주,1301
20140210,대전,1472
20140210,울산,592
20140210,경기,11010
20140210,강원,1123
20140210,충북,1483
20140210,충남,2116
20140210,전북,2467
20140210,전남,1931
20140210,경북,2652
20140210,경남,3177
20140210,제주,697
20140210,전국,47665
20140211,서울,7845
20140211,부산,2328
20140211,대구,2101
20140211,인천,1731
20140211,광주,953
20140211,대전,1231
20140211,울산,594
20140211,경기,8675
20140211,강원,1102
20140211,충북,1304
20140211,충남,1812
20140211,전북,2096
20140211,전남,1611
20140211,경북,2149
20140211,경남,2714
20140211,제주,667
20140211,전국,38926
20140212,서울,7683
20140212,부산,2487
20140212,대구,2192
20140212,인천,1661
20140212,광주,966
20140212,대전,1165
20140212,울산,635
20140212,경기,8237
20140212,강원,1105
20140212,충북,1205
20140212,충남,1635
20140212,전북,1944
20140212,전남,1559
20140212,경북,2255
20140212,경남,2570
20140212,제주,557
20140212,전국,37861
20140213,서울,7059
20140213,부산,2229
20140213,대구,2005
20140213,인천,1546
20140213,광주,990
20140213,대전,1084
20140213,울산,675
20140213,경기,7892
20140213,강원,899
20140213,충북,1046
20140213,충남,1561
20140213,전북,1809
20140213,전남,1396
20140213,경북,2020
20140213,경남,2288
20140213,제주,619
20140213,전국,35130
20140214,서울,7427
20140214,부산,2189
20140214,대구,1973
20140214,인천,1706
20140214,광주,910
20140214,대전,1189
20140214,울산,663
20140214,경기,8324
20140214,강원,985
20140214,충북,1051
20140214,충남,1527
20140214,전북,1856
20140214,전남,1512
20140214,경북,2075
20140214,경남,2147
20140214,제주,626
20140214,전국,36172
20140215,서울,5935
20140215,부산,1858
20140215,대구,1814
20140215,인천,1320
20140215,광주,764
20140215,대전,986
20140215,울산,626
20140215,경기,6986
20140215,강원,738
20140215,충북,1002
20140215,충남,1304
20140215,전북,1362
20140215,전남,1174
20140215,경북,1853
20140215,경남,1920
20140215,제주,426
20140215,전국,30076
20140216,서울,222
20140216,부산,52
20140216,대구,48
20140216,인천,67
20140216,광주,40
20140216,대전,46
20140216,울산,35
20140216,경기,398
20140216,강원,21
20140216,충북,54
20140216,충남,63
20140216,전북,60
20140216,전남,55
20140216,경북,45
20140216,경남,45
20140216,제주,40
20140216,전국,1292
20140217,서울,9852
20140217,부산,3053
20140217,대구,2723
20140217,인천,2119
20140217,광주,1159
20140217,대전,1512
20140217,울산,881
20140217,경기,11178
20140217,강원,1449
20140217,충북,1510
20140217,충남,2241
20140217,전북,2647
20140217,전남,1863
20140217,경북,3149
20140217,경남,3147
20140217,제주,693
20140217,전국,49189
20140218,서울,7646
20140218,부산,2228
20140218,대구,2089
20140218,인천,1738
20140218,광주,1006
20140218,대전,1149
20140218,울산,647
20140218,경기,8516
20140218,강원,1066
20140218,충북,1237
20140218,충남,1703
20140218,전북,2019
20140218,전남,1468
20140218,경북,2372
20140218,경남,2432
20140218,제주,700
20140218,전국,38027
20140219,서울,7478
20140219,부산,2267
20140219,대구,2082
20140219,인천,1669
20140219,광주,888
20140219,대전,1113
20140219,울산,655
20140219,경기,8309
20140219,강원,1040
20140219,충북,1154
20140219,충남,1665
20140219,전북,1903
20140219,전남,1456
20140219,경북,2352
20140219,경남,2482
20140219,제주,581
20140219,전국,37099
20140220,서울,6995
20140220,부산,2341
20140220,대구,2013
20140220,인천,1557
20140220,광주,893
20140220,대전,1105
20140220,울산,681
20140220,경기,7792
20140220,강원,1111
20140220,충북,1113
20140220,충남,1564
20140220,전북,1865
20140220,전남,1446
20140220,경북,2275
20140220,경남,2321
20140220,제주,531
20140220,전국,35612
20140221,서울,7597
20140221,부산,2604
20140221,대구,2182
20140221,인천,1635
20140221,광주,876
20140221,대전,1160
20140221,울산,784
20140221,경기,8440
20140221,강원,1206
20140221,충북,1188
20140221,충남,1684
20140221,전북,1870
20140221,전남,1537
20140221,경북,2424
20140221,경남,2592
20140221,제주,650
20140221,전국,38436
20140222,서울,5850
20140222,부산,1841
20140222,대구,1785
20140222,인천,1312
20140222,광주,811
20140222,대전,963
20140222,울산,597
20140222,경기,6765
20140222,강원,774
20140222,충북,952
20140222,충남,1314
20140222,전북,1266
20140222,전남,1105
20140222,경북,1771
20140222,경남,1923
20140222,제주,415
20140222,전국,29453
20140223,서울,198
20140223,부산,43
20140223,대구,49
20140223,인천,37
20140223,광주,41
20140223,대전,51
20140223,울산,28
20140223,경기,406
20140223,강원,17
20140223,충북,60
20140223,충남,40
20140223,전북,39
20140223,전남,66
20140223,경북,36
20140223,경남,72
20140223,제주,41
20140223,전국,1224
20140224,서울,9723
20140224,부산,3393
20140224,대구,2795
20140224,인천,2189
20140224,광주,1299
20140224,대전,1463
20140224,울산,930
20140224,경기,10907
20140224,강원,1467
20140224,충북,1462
20140224,충남,2143
20140224,전북,2529
20140224,전남,1939
20140224,경북,3114
20140224,경남,3173
20140224,제주,732
20140224,전국,49268
20140225,서울,7762
20140225,부산,2670
20140225,대구,2221
20140225,인천,1583
20140225,광주,940
20140225,대전,1166
