날짜,평균 오존전량(DU),오존위험지수
2017-01-01,316.5,
2017-01-02,346.8,
2017-01-03,333.7,
2017-01-04,317.5,
2017-01-05,315.3,
2017-01-06,312.4,
2017-01-07,300.8,
2017-01-08,341.2,
2017-01-09,349.1,
2017-01-10,351,
2017-01-11,340.8,
2017-01-12,376.8,
2017-01-13,398,
2017-01-14,384.7,
2017-01-15,363.5,
2017-01-16,352.7,
2017-01-17,356,
2017-01-18,410.1,
2017-01-19,374.9,
2017-01-20,362.2,
2017-01-21,341.2,
2017-01-22,347.4,
2017-01-23,360.2,
2017-01-24,350.3,
2017-01-25,371.8,
2017-01-26,316.9,
2017-01-27,297.6,
2017-01-28,292.8,
2017-01-29,285.5,
2017-01-30,369.4,
2017-01-31,369,
2017-02-01,354.6,
2017-02-02,324.3,
2017-02-03,340,
2017-02-04,350.4,
2017-02-05,412.6,
2017-02-06,388.6,
2017-02-07,366.9,
2017-02-08,405.5,
2017-02-09,345.2,
2017-02-10,336.9,
2017-02-11,319.8,
2017-02-12,312.6,
2017-02-13,294.9,
2017-02-14,322.3,
2017-02-15,398.7,
2017-02-16,388,
2017-02-17,395.4,
2017-02-18,413.4,
2017-02-19,400.6,
2017-02-20,376.4,
2017-02-21,399.9,
2017-02-22,346.6,
2017-02-23,328.4,
2017-02-24,401.6,
2017-02-25,394.9,
2017-02-26,409.3,
2017-02-27,385.6,
2017-02-28,407.9,
2017-03-01,378.8,
2017-03-02,352.6,
2017-03-03,341.7,
2017-03-04,335.9,
2017-03-05,329.8,
2017-03-06,396.5,
2017-03-07,363.3,
2017-03-08,312.9,
2017-03-09,320.8,
2017-03-10,339.1,
2017-03-11,416.6,
2017-03-12,396.3,
2017-03-13,374.5,
2017-03-14,391.2,
2017-03-15,326.3,
2017-03-16,348.3,
2017-03-17,336.5,
2017-03-18,347.2,
2017-03-19,329.5,
2017-03-20,328.7,
2017-03-21,352.8,
2017-03-22,347.6,
2017-03-23,323.5,
2017-03-24,321.6,
2017-03-25,327.4,
2017-03-26,406.7,
2017-03-27,433.3,
2017-03-28,396.6,
2017-03-29,375.8,
2017-03-30,370.7,
2017-03-31,353.2,
2017-04-01,352.7,
2017-04-02,345.9,
2017-04-03,320.7,
2017-04-04,375.7,
2017-04-05,347.6,
2017-04-06,334,
2017-04-07,334,
2017-04-08,345,
2017-04-09,360.5,
2017-04-10,351.4,
2017-04-11,350.9,
2017-04-12,358.1,
2017-04-13,371.4,
2017-04-14,364.2,
2017-04-15,342.7,
2017-04-16,318.2,
2017-04-17,344.5,
2017-04-18,353.2,
2017-04-19,371.2,
2017-04-20,350.2,
2017-04-21,349.3,
