날짜,시도지역코드,발생건수(건)
20140101,서울,246
20140101,부산,138
20140101,대구,85
20140101,인천,138
20140101,광주,81
20140101,대전,123
20140101,울산,41
20140101,경기,481
20140101,강원,44
20140101,충북,118
20140101,충남,136
20140101,전북,102
20140101,전남,184
20140101,경북,181
20140101,경남,158
20140101,제주,36
20140101,전국,2293
20140102,서울,10963
20140102,부산,4068
20140102,대구,3401
20140102,인천,3349
20140102,광주,1810
20140102,대전,1796
20140102,울산,1324
20140102,경기,13139
20140102,강원,1767
20140102,충북,1995
20140102,충남,2566
20140102,전북,2192
20140102,전남,2709
20140102,경북,3591
20140102,경남,4419
20140102,제주,631
20140102,전국,59738
20140103,서울,10113
20140103,부산,3610
20140103,대구,2933
20140103,인천,2978
20140103,광주,1571
20140103,대전,1654
20140103,울산,1137
20140103,경기,11571
20140103,강원,1765
20140103,충북,1765
20140103,충남,2218
20140103,전북,1822
20140103,전남,2235
20140103,경북,3116
20140103,경남,3799
20140103,제주,563
20140103,전국,52860
20140104,서울,8043
20140104,부산,2766
20140104,대구,2469
20140104,인천,2487
20140104,광주,1239
20140104,대전,1533
20140104,울산,901
20140104,경기,9565
20140104,강원,1216
20140104,충북,1359
20140104,충남,1843
20140104,전북,1462
20140104,전남,1774
20140104,경북,2378
20140104,경남,3034
20140104,제주,388
20140104,전국,42472
20140105,서울,407
20140105,부산,162
20140105,대구,52
20140105,인천,157
20140105,광주,47
20140105,대전,133
20140105,울산,88
20140105,경기,782
20140105,강원,64
20140105,충북,102
20140105,충남,110
20140105,전북,66
20140105,전남,108
20140105,경북,80
20140105,경남,153
20140105,제주,33
20140105,전국,2545
20140106,서울,12122
20140106,부산,4340
20140106,대구,3660
20140106,인천,3805
20140106,광주,1942
20140106,대전,2113
20140106,울산,1319
20140106,경기,14159
20140106,강원,2079
20140106,충북,2080
20140106,충남,2917
20140106,전북,2394
20140106,전남,2853
20140106,경북,3758
20140106,경남,4502
20140106,제주,672
20140106,전국,64730
20140107,서울,9325
20140107,부산,3334
20140107,대구,2751
20140107,인천,2958
20140107,광주,1539
20140107,대전,1500
20140107,울산,1043
20140107,경기,11025
20140107,강원,1595
20140107,충북,1618
20140107,충남,2200
20140107,전북,1783
20140107,전남,2109
20140107,경북,2788
20140107,경남,3585
20140107,제주,509
20140107,전국,49676
20140108,서울,8190
20140108,부산,2554
20140108,대구,2427
20140108,인천,2553
20140108,광주,1318
20140108,대전,1400
20140108,울산,906
20140108,경기,9678
20140108,강원,1457
20140108,충북,1413
20140108,충남,1917
20140108,전북,1509
20140108,전남,1968
20140108,경북,2430
20140108,경남,2910
20140108,제주,455
20140108,전국,43095
20140109,서울,7480
20140109,부산,2710
20140109,대구,2159
20140109,인천,2285
20140109,광주,1231
20140109,대전,1330
20140109,울산,898
20140109,경기,8834
20140109,강원,1236
20140109,충북,1321
20140109,충남,1809
20140109,전북,1535
20140109,전남,1802
20140109,경북,2442
20140109,경남,3046
20140109,제주,401
20140109,전국,40528
20140110,서울,8980
20140110,부산,3100
20140110,대구,2711
20140110,인천,2808
20140110,광주,1394
20140110,대전,1603
20140110,울산,977
20140110,경기,10258
20140110,강원,1524
20140110,충북,1483
20140110,충남,2007
20140110,전북,1673
20140110,전남,2095
20140110,경북,2597
20140110,경남,3390
20140110,제주,467
20140110,전국,47079
20140111,서울,7787
20140111,부산,2590
20140111,대구,2398
20140111,인천,2437
20140111,광주,1291
20140111,대전,1439
20140111,울산,869
20140111,경기,9648
20140111,강원,1226
20140111,충북,1318
20140111,충남,1727
20140111,전북,1355
20140111,전남,1721
20140111,경북,2240
20140111,경남,2814
20140111,제주,351
20140111,전국,41226
