朝楼,矫档瘤开内靛,惯积扒荐(扒)
20160101,版合,628
20160102,版合,3365
20160103,版合,1899
20160104,版合,260
20160105,版合,3201
20160106,版合,2094
20160107,版合,2063
20160108,版合,2128
20160109,版合,2258
20160110,版合,1766
20160111,版合,284
20160112,版合,3061
20160113,版合,2168
20160114,版合,2055
20160115,版合,2217
20160116,版合,2271
20160117,版合,1903
20160118,版合,320
20160119,版合,3115
20160120,版合,2285
20160121,版合,2145
20160122,版合,2287
20160123,版合,2445
20160124,版合,1951
20160125,版合,289
20160126,版合,3235
20160127,版合,2268
20160128,版合,2146
20160129,版合,2212
20160130,版合,2310
20160131,版合,2029
20160201,版合,545
20160202,版合,3125
20160203,版合,2313
20160204,版合,2101
20160205,版合,2222
20160206,版合,2482
20160207,版合,2025
20160208,版合,335
20160209,版合,3205
20160210,版合,2481
20160211,版合,2312
20160212,版合,2415
20160213,版合,2702
20160214,版合,2301
20160215,版合,363
20160216,版合,4057
20160217,版合,3753
20160218,版合,821
20160219,版合,95
20160220,版合,418
20160221,版合,2288
20160222,版合,395
20160223,版合,3971
20160224,版合,2610
20160225,版合,2464
20160226,版合,2519
20160227,版合,2746
20160228,版合,2101
20160301,版合,539
20160302,版合,3377
20160303,版合,2386
20160304,版合,2150
20160305,版合,2085
20160306,版合,2515
20160307,版合,1992
20160308,版合,285
20160309,版合,3517
20160310,版合,2234
20160311,版合,2358
20160312,版合,2443
20160313,版合,2595
20160314,版合,2268
20160315,版合,363
20160316,版合,3820
20160317,版合,2582
20160318,版合,2190
20160319,版合,2912
20160320,版合,2739
20160321,版合,2369
20160322,版合,406
20160323,版合,4047
20160324,版合,2844
20160325,版合,2532
20160326,版合,2749
20160327,版合,2954
20160328,版合,2454
20160329,版合,393
20160330,版合,3813
20160331,版合,2645
20160401,版合,2868
20160402,版合,2677
20160403,版合,2674
20160404,版合,2301
20160405,版合,383
20160406,版合,3481
20160407,版合,2527
20160408,版合,2357
20160409,版合,2390
20160410,版合,2631
20160411,版合,2132
20160412,版合,328
20160413,版合,3552
20160414,版合,2565
20160415,版合,2511
20160416,版合,2330
20160417,版合,2556
20160418,版合,2279
20160419,版合,403
20160420,版合,3501
20160421,版合,2495
20160422,版合,2505
20160423,版合,2480
