지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),최소 상대습도(%),최저기온위험지수,일교차위험지수,습도위험지수
경상남도,2016-01-01,-3.1,-8.1,0.9,19,,,
경상남도,2016-01-02,-3.3,-9.5,3.9,30,,,
경상남도,2016-01-03,-3,-11,6.8,15,,,
경상남도,2016-01-04,0.4,-6.6,12.2,35,,,
경상남도,2016-01-05,2.7,-5.3,11,38,,,
경상남도,2016-01-06,4.8,-0.6,8.7,15,,,
경상남도,2016-01-07,0.7,-4.4,5.7,9,,,
경상남도,2016-01-08,-2.1,-8.4,7.1,13,,,
경상남도,2016-01-09,-1.1,-8.2,7.9,29,,,
경상남도,2016-01-10,-0.1,-5.7,9.3,21,,,
경상남도,2016-01-11,-0.3,-7.5,9.9,13,,,
경상남도,2016-01-12,-0.9,-6.6,5.9,21,,,
경상남도,2016-01-13,0.1,-7.8,9,32,,,
경상남도,2016-01-14,2.8,-0.6,5.8,48,,,
경상남도,2016-01-15,4.4,-2.2,13.2,34,,,
경상남도,2016-01-16,1.7,-5.1,9.3,41,,,
경상남도,2016-01-17,1.4,-5.1,5.8,15,,,
경상남도,2016-01-18,0.2,-9.3,7.1,12,,,
경상남도,2016-01-19,2.9,-2.3,10,22,,,
경상남도,2016-01-20,0.6,-6.6,8.6,21,,,
경상남도,2016-01-21,2.9,-0.7,5.8,45,,,
경상남도,2016-01-22,3.6,0,7.6,60,,,
경상남도,2016-01-23,1.1,-3.1,8.5,45,,,
경상남도,2016-01-24,0.6,-5.6,10,35,,,
경상남도,2016-01-25,1.7,-3.5,4.8,67,,,
경상남도,2016-01-26,6.7,1.5,14.3,63,,,
경상남도,2016-01-27,2.1,-3.5,8.3,20,,,
경상남도,2016-01-28,-0.6,-5.4,6.6,19,,,
경상남도,2016-01-29,1.8,-3.1,5.4,54,,,
경상남도,2016-01-30,2.1,-1.9,6.2,26,,,
경상남도,2016-01-31,-1.6,-7.7,5.9,12,,,
경상남도,2016-02-01,-1.6,-9.2,9.3,12,,,
경상남도,2016-02-02,0.2,-5.9,10.1,22,,,
경상남도,2016-02-03,2.3,-5.9,10.9,37,,,
경상남도,2016-02-04,2.1,-3.5,9.4,24,,,
경상남도,2016-02-05,0.1,-5.1,6.6,26,,,
경상남도,2016-02-06,0.4,-7.3,9.2,26,,,
경상남도,2016-02-07,1.9,-4.6,10,31,,,
경상남도,2016-02-08,-2.2,-7.1,1.9,14,,,
