날짜,시군구지역코드,발생건수(건)
20170101,36110,113
20170102,36110,266
20170103,36110,129
20170104,36110,362
20170105,36110,263
20170106,36110,221
20170107,36110,210
20170108,36110,235
20170109,36110,177
20170110,36110,88
20170111,36110,297
20170112,36110,215
20170113,36110,189
20170114,36110,185
20170115,36110,206
20170116,36110,179
20170117,36110,82
20170118,36110,260
20170119,36110,154
20170120,36110,191
20170121,36110,217
20170122,36110,210
20170123,36110,166
20170124,36110,106
20170125,36110,310
20170126,36110,239
20170127,36110,252
20170128,36110,226
20170129,36110,243
20170130,36110,222
20170131,36110,112
20170201,36110,331
20170202,36110,254
20170203,36110,278
20170204,36110,287
20170205,36110,338
20170206,36110,303
20170207,36110,90
20170208,36110,11
20170209,36110,96
20170210,36110,261
20170211,36110,377
20170212,36110,255
20170213,36110,280
20170214,36110,110
20170215,36110,376
20170216,36110,220
20170217,36110,262
20170218,36110,271
20170219,36110,243
20170220,36110,227
20170221,36110,84
20170222,36110,306
20170223,36110,211
20170224,36110,253
20170225,36110,262
20170226,36110,247
20170227,36110,210
20170228,36110,91
20170301,36110,160
20170302,36110,246
20170303,36110,230
20170304,36110,242
20170305,36110,218
20170306,36110,95
20170307,36110,291
20170308,36110,224
20170309,36110,217
20170310,36110,222
20170311,36110,192
20170312,36110,279
20170313,36110,103
20170314,36110,385
20170315,36110,253
20170316,36110,276
20170317,36110,273
20170318,36110,258
20170319,36110,260
20170320,36110,114
20170321,36110,391
20170322,36110,255
20170323,36110,276
20170324,36110,311
20170325,36110,279
20170326,36110,248
20170327,36110,129
20170328,36110,412
20170329,36110,264
20170330,36110,277
20170331,36110,279
20170401,36110,183
20170402,36110,161
20170403,36110,75
20170404,36110,247
20170405,36110,202
20170406,36110,156
20170407,36110,182
20170408,36110,164
20170409,36110,125
20170410,36110,54
20170411,36110,234
20170412,36110,170
20170413,36110,152
20170414,36110,215
20170415,36110,181
20170416,36110,168
20170417,36110,63
20170418,36110,246
20170419,36110,159
20170420,36110,180
20170421,36110,154
20170422,36110,163
20170423,36110,171
20170424,36110,69
20170425,36110,241
20170426,36110,199
20170427,36110,201
20170428,36110,223
20170429,36110,192
20170430,36110,232
20170501,36110,102
20170502,36110,391
20170503,36110,230
20170504,36110,329
20170505,36110,122
20170506,36110,268
20170507,36110,172
20170508,36110,127
20170509,36110,370
20170510,36110,212
20170511,36110,222
20170512,36110,234
20170513,36110,220
20170514,36110,157
20170515,36110,121
20170516,36110,328
20170517,36110,187
20170518,36110,220
20170519,36110,255
20170520,36110,239
20170521,36110,220
20170522,36110,100
20170523,36110,362
20170524,36110,216
20170525,36110,223
20170526,36110,233
20170527,36110,187
20170528,36110,174
20170529,36110,75
20170530,36110,300
20170531,36110,216
20170601,36110,205
20170602,36110,209
20170603,36110,182
20170604,36110,220
20170605,36110,58
20170606,36110,158
20170607,36110,285
20170608,36110,175
20170609,36110,203
20170610,36110,162
20170611,36110,172
20170612,36110,80
20170613,36110,239
20170614,36110,172
20170615,36110,140
20170616,36110,194
20170617,36110,137
20170618,36110,147
20170619,36110,86
20170620,36110,243
20170621,36110,170
20170622,36110,164
20170623,36110,177
20170624,36110,135
20170625,36110,152
20170626,36110,64
20170627,36110,263
20170628,36110,163
20170629,36110,174
20170630,36110,176
20170701,36110,199
20170702,36110,151
20170703,36110,77
20170704,36110,213
20170705,36110,180
20170706,36110,159
20170707,36110,182
20170708,36110,149
20170709,36110,156
20170710,36110,69
20170711,36110,244
20170712,36110,179
20170713,36110,155
20170714,36110,181
20170715,36110,161
20170716,36110,186
20170717,36110,95
20170718,36110,225
20170719,36110,175
20170720,36110,198
20170721,36110,178
20170722,36110,161
20170723,36110,163
20170724,36110,74
20170725,36110,242
20170726,36110,193
20170727,36110,182
20170728,36110,199
20170729,36110,181
20170730,36110,157
20170731,36110,66
20170801,36110,240
20170802,36110,190
20170803,36110,183
20170804,36110,157
20170805,36110,173
20170806,36110,111
20170807,36110,65
20170808,36110,213
20170809,36110,138
20170810,36110,138
20170811,36110,139
20170812,36110,131
20170813,36110,107
20170814,36110,44
20170815,36110,99
20170816,36110,181
20170817,36110,152
20170818,36110,136
